,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
17,"('cys_L_c', 'ala_L_c')","('alagln_c', 'gln_L_c')","('gln_L_c', 'glygln_c')","('cys_L_c', 'cys_L_e')","('raffin_c', 'stys_c')","('s17bp_c', 'dhap_c')","('dhap_c', 'quln_c')","('dhap_c', 'quln_c')","('f1a_rl_e', 'gal_e')","('f1a_rl_e', 'gal_e')"
18,"('cys_L_c', 'acser_c')","('glu_D_c', 'uamag_c')","('gln_L_c', 'gln_L_e')","('tsul_c', 'cys_L_c')","('raffin_c', 'fru_c')","('s17bp_c', 'e4p_c')","('dhap_c', 'rml1p_c')","('dhap_c', 'rml1p_c')","('f1a_rl_e', 'agam1b6agal_e')","('f1a_rl_e', 'agam1b6agal_e')"
19,"('cys_L_c', '4mpetz_c')","('s17bp_c', 'dhap_c')","('alagln_c', 'gln_L_c')","('tsul_c', 'trdox_c')","('raffin_c', 'sucr_c')","('dhap_c', 's17bp_c')","('4mpentACP_c', '6m3oheptACP_c')","('4mpentACP_c', '6m3oheptACP_c')","('raffin_e', 'raffin_c')","('raffin_e', 'raffin_c')"
20,"('cys_L_c', 'cys_L_e')","('s17bp_c', 'e4p_c')","('glu_D_c', 'uamag_c')","('tsul_c', 'ac_c')","('cys_L_c', 'tsul_c')","('dhap_c', 'g3p_c')","('f1a_rl_e', 'gal_e')","('raffin_e', 'raffin_c')","('raffin_c', 'gal_c')","('raffin_c', 'gal_c')"
21,"('tsul_c', 'cys_L_c')","('dhap_c', 's17bp_c')","('glytyr_c', 'tyr_L_c')","('tsul_c', 'so3_c')","('cys_L_c', '4ppcys_c')","('dhap_c', 'fdp_c')","('f1a_rl_e', 'agam1b6agal_e')","('raffin_c', 'gal_c')","('raffin_c', 'melib_c')","('raffin_c', 'melib_c')"
22,"('tsul_c', 'trdox_c')","('dhap_c', 'g3p_c')","('s17bp_c', 'dhap_c')","('tsul_c', 'hcys_L_c')","('cys_L_c', 'trdrd_c')","('dhap_c', 'f1p_c')","('raffin_e', 'raffin_c')","('raffin_c', 'melib_c')","('raffin_c', 'stys_c')","('raffin_c', 'stys_c')"
23,"('tsul_c', 'ac_c')","('dhap_c', 'glyc3p_c')","('s17bp_c', 'e4p_c')","('acamoxm_c', 'akg_c')","('cys_L_c', '4hba_c')","('dhap_c', 'mthgxl_c')","('raffin_c', 'gal_c')","('raffin_c', 'stys_c')","('raffin_c', 'sucr_c')","('raffin_c', 'sucr_c')"
24,"('tsul_c', 'so3_c')","('dhap_c', 'fdp_c')","('dhap_c', 's17bp_c')","('acamoxm_c', 'n6all26d_c')","('cys_L_c', 'acser_c')","('4mpentACP_c', '6m3oheptACP_c')","('raffin_c', 'melib_c')","('raffin_c', 'fru_c')","('raffin_c', 'fru_c')","('raffin_c', 'fru_c')"
25,"('tsul_c', 'hcys_L_c')","('dhap_c', 'dha_c')","('dhap_c', 'g3p_c')","('acamoxm_c', 'thdp_c')","('cys_L_c', '4mpetz_c')","('pai16_c', 'cdpdihdecg_c')","('raffin_c', 'stys_c')","('raffin_c', 'sucr_c')","('cys_L_c', 'tsul_c')","('cys_L_c', 'tsul_c')"
26,"('so4_c', 'so4_e')","('dhap_c', 'f1p_c')","('dhap_c', 'fdp_c')","('so4_c', 'so4_e')","('cys_L_c', 'cys_L_e')","('val_L_c', '3mob_c')","('raffin_c', 'fru_c')","('cys_L_c', 'tsul_c')","('cys_L_c', '4ppcys_c')","('cys_L_c', '4ppcys_c')"
27,"('so4_e', 'so4_c')","('dhap_c', 'quln_c')","('dhap_c', 'f1p_c')","('so4_e', 'so4_c')","('tsul_c', 'cys_L_c')","('val_L_c', 'val_L_e')","('raffin_c', 'sucr_c')","('cys_L_c', '4ppcys_c')","('cys_L_c', 'trdrd_c')","('cys_L_c', 'trdrd_c')"
28,"('acnam_e', 'acnam_c')","('dhap_c', 'mthgxl_c')","('val_L_c', 'val_L_e')","('sucsal_c', 'succ_c')","('tsul_c', 'trdox_c')","('pgpai15_c', 'pgai15_c')","('cys_L_c', 'tsul_c')","('cys_L_c', 'trdrd_c')","('cys_L_c', 'cmp_c')","('cys_L_c', 'cmp_c')"
29,"('k_c', 'zn2_c')","('2ahhmp_c', 'dhpt_c')","('pgpai15_c', 'pgai15_c')","('sucsal_c', '4hdxbutn_c')","('tsul_c', 'so3_c')","('pgai15_c', 'glyc_c')","('cys_L_c', '4ppcys_c')","('cys_L_c', '4hba_c')","('cys_L_c', '4hba_c')","('cys_L_c', '4hba_c')"
30,"('k_c', 'cd2_c')","('2ommb_c', 'ocmhmxbq_c')","('pgai15_c', 'glyc_c')","('k_c', 'zn2_c')","('tsul_c', 'hcys_L_c')","('pgai15_c', 'clpnai15_c')","('cys_L_c', 'trdrd_c')","('cys_L_c', 'acser_c')","('cys_L_c', 'acser_c')","('cys_L_c', 'acser_c')"
31,"('k_c', 'k_e')","('ocmhmxbq_c', 'q8_c')","('pgai15_c', 'clpnai15_c')","('k_c', 'k_e')","('acgam_e', 'acgam_c')","('2dhp_c', 'pant_R_c')","('cys_L_c', 'succ_c')","('cys_L_c', '4mpetz_c')","('cys_L_c', '4mpetz_c')","('cys_L_c', '4mpetz_c')"
32,"('udpg_c', 'utp_c')","('ocmhmxbq_c', 'ahcys_c')","('glu_L_e', 'na1_c')","('udpg_c', 'm12dsglyc_c')","('acgam_e', 'acgam6p_c')","('pant_R_c', '2dhp_c')","('cys_L_c', 'cyst_L_c')","('tsul_c', 'cys_L_c')","('cys_L_c', 'cys_L_e')","('tsul_c', 'cys_L_c')"
33,"('udpg_c', 'g1p_c')","('4mpentACP_c', '6m3oheptACP_c')","('na1_c', 'na1_e')","('udpg_c', 'diglcpgai17_c')","('so4_c', 'so4_e')","('lys_L_c', 'lys_L_e')","('cys_L_c', '4hba_c')","('tsul_c', 'trdox_c')","('tsul_c', 'cys_L_c')","('tsul_c', 'trdox_c')"
34,"('udpg_c', 'udpglcur_c')","('pphn_c', '34hpp_c')","('na1_c', 'gly_e')","('udpg_c', 'diglcpgi17_c')","('so4_e', 'so4_c')","('lys_L_c', '15dap_c')","('cys_L_c', 'ac_c')","('tsul_c', 'ac_c')","('tsul_c', 'trdox_c')","('tsul_c', 'ac_c')"
35,"('udpg_c', 'udpgal_c')","('pphn_c', 'oaa_c')","('2dhp_c', 'pant_R_c')","('udpg_c', 'diglcpg180_c')","('sucsal_c', 'succ_c')","('cys_L_c', 'tsul_c')","('cys_L_c', 'acser_c')","('tsul_c', 'so3_c')","('tsul_c', 'ac_c')","('tsul_c', 'so3_c')"
36,"('zn2_c', 'k_c')","('pphn_c', 'phpyr_c')","('pant_R_c', '2dhp_c')","('udpg_c', 'ump_c')","('sucsal_c', '4hdxbutn_c')","('cys_L_c', 'acser_c')","('cys_L_c', '4mpetz_c')","('tsul_c', 'hcys_L_c')","('tsul_c', 'so3_c')","('tsul_c', 'hcys_L_c')"
37,"('zn2_c', 'zn2_e')","('pphn_c', 'Largn_c')","('pant_R_c', 'pnto_R_c')","('udpg_c', 'ai17tcaglc_c')","('diglcpgi15_c', 'i15tca1_c')","('cys_L_c', '4ppcys_c')","('cys_L_c', 'cys_L_e')","('acgam_e', 'acgam_c')","('tsul_c', 'hcys_L_c')","('acgam_e', 'acgam_c')"
38,"('g3p_c', 'dhap_c')","('2omph_c', '2ombzl_c')","('lys_L_c', 'lys_L_e')","('udpg_c', 'sttcaglc_c')","('34hpp_c', 'tyr_L_c')","('cys_L_c', 'trdrd_c')","('tsul_c', 'cys_L_c')","('so4_c', 'so4_e')","('acgam_e', 'acgam_c')","('so4_c', 'so4_e')"
39,"('g3p_c', 'pydx5p_c')","('2omph_c', '2ombz_c')","('lys_L_c', '15dap_c')","('udpg_c', 'm12dahglyc_c')","('g3p_c', 'dhap_c')","('cys_L_c', '4hba_c')","('tsul_c', 'trdox_c')","('so4_c', 'aps_c')","('so4_c', 'so4_e')","('so4_c', 'aps_c')"
40,"('g3p_c', 'fdp_c')","('glu_L_e', 'na1_c')","('raffin_e', 'raffin_c')","('udpg_c', 'm12dihglyc_c')","('g3p_c', 'pydx5p_c')","('cys_L_c', 'cys_L_e')","('tsul_c', 'so3_c')","('so4_c', 'gdp_c')","('so4_c', 'aps_c')","('so4_c', 'gdp_c')"
41,"('g3p_c', 'e4p_c')","('na1_c', 'na1_e')","('raffin_c', 'fru_c')","('udpg_c', 'tcam_c')","('g3p_c', 'f6p_c')","('cys_L_c', '4mpetz_c')","('tsul_c', 'ac_c')","('so4_e', 'so4_c')","('so4_c', 'gdp_c')","('so4_e', 'so4_c')"
42,"('g3p_c', 'f6p_c')","('lys_L_c', '36dahx_c')","('raffin_c', 'melib_c')","('udpg_c', 'udpglcur_c')","('g3p_c', 'fdp_c')","('tsul_c', 'cys_L_c')","('tsul_c', 'hcys_L_c')","('hexACP_c', '3ooctACP_c')","('so4_e', 'so4_c')","('hexACP_c', '3ooctACP_c')"
43,"('g3p_c', '2dr5p_c')","('lys_L_c', 'lys_L_e')","('cys_L_c', 'tsul_c')","('udpg_c', 'g1p_c')","('g3p_c', 'e4p_c')","('tsul_c', 'trdox_c')","('acgam_e', 'acgam_c')","('k_c', 'zn2_c')","('hexACP_c', '3ooctACP_c')","('acnam_e', 'acnam_c')"
44,"('g3p_c', 'r5p_c')","('cys_L_c', 'tsul_c')","('cys_L_c', 'cmp_c')","('udpg_c', 'prl45tcaglc_c')","('g3p_c', 'tagdp_D_c')","('tsul_c', 'ac_c')","('so4_c', 'so4_e')","('k_c', 'cd2_c')","('acnam_e', 'acnam_c')","('pa140_c', 'cdpdtdecg_c')"
45,"('g3p_c', 'dxyl5p_c')","('cys_L_c', 'acser_c')","('cys_L_c', 'trdrd_c')","('udpg_c', 'i17tcaglc_c')","('g3p_c', '2dr5p_c')","('tsul_c', 'hcys_L_c')","('so4_c', 'aps_c')","('k_c', 'k_e')","('k_c', 'zn2_c')","('34hpp_c', 'tyr_L_c')"
46,"('g3p_c', 'xu5p_D_c')","('cys_L_c', 'cmp_c')","('cys_L_c', 'acser_c')","('udpg_c', 'udpgal_c')","('g3p_c', '2ddg6p_c')","('tsul_c', 'so3_c')","('so4_c', 'gdp_c')","('udpg_c', 'gicolipa_c')","('k_c', 'cd2_c')","('g3p_c', 'dhap_c')"
47,"('g3p_c', '13dpg_c')","('cys_L_c', '4ppcys_c')","('cys_L_c', '4ppcys_c')","('pa140_c', 'cdpdtdecg_c')","('g3p_c', 'r5p_c')","('clpni17_c', 'pgi17_c')","('so4_e', 'so4_c')","('udpg_c', 'utp_c')","('k_c', 'k_e')","('g3p_c', 'fdp_c')"
48,"('dadp_c', 'datp_c')","('cys_L_c', 'trdrd_c')","('cys_L_c', '4hba_c')","('zn2_c', 'k_c')","('g3p_c', 'dxyl5p_c')","('pgi17_c', 'clpni17_c')","('hexACP_c', '3ooctACP_c')","('udpg_c', 'g1p_c')","('udpg_c', 'gicolipa_c')","('g3p_c', 'e4p_c')"
49,"('dadp_c', 'gmp_c')","('cys_L_c', '4hba_c')","('cys_L_c', 'cys_L_e')","('zn2_c', 'zn2_e')","('g3p_c', 'xu5p_D_c')","('pgi17_c', 'glyc_c')","('acnam_e', 'acnam_c')","('udpg_c', 'gagicolipa_c')","('udpg_c', 'utp_c')","('g3p_c', 'dxyl5p_c')"
50,"('dadp_c', 'damp_c')","('cys_L_c', 'cys_L_e')","('cys_L_c', '4mpetz_c')","('g3p_c', 'dhap_c')","('g3p_c', '13dpg_c')","('histl_L_c', 'his_L_c')","('34hpp_c', 'tyr_L_c')","('udpg_c', 'udpglcur_c')","('udpg_c', 'g1p_c')","('g3p_c', 'f6p_c')"
51,"('dgtp_c', 'dgdp_c')","('cys_L_c', '4mpetz_c')","('tsul_c', 'cys_L_c')","('g3p_c', 'f6p_c')","('dadp_c', 'datp_c')","('histl_L_c', 'histd_c')","('g3p_c', 'dhap_c')","('udpg_c', 'udpgal_c')","('udpg_c', 'gagicolipa_c')","('g3p_c', '2dr5p_c')"
