,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
107,ile_L_c,4mhexACP_c,uaaGgla_c,mal_L_c,cu2_c,mal_L_c,dtdp4d6dg_c,hspg_degr_1_e,sttca1_c,h2o2_c
108,thp2c_c,zn2_e,thp2c_c,dmpp_c,4mop_c,nicrnt_c,peai17_c,acgalglcur_e,core3_e,ocACP_c
109,myrstca1_c,4adcho_c,alaleu_e,nicrnt_c,nac_e,dmbzid_c,prl45tcaglc_c,1hdec9eg3p_c,taur_e,glyc3p_c
110,alaleu_e,gicolipa_c,Lcyst_c,4abut_e,acon_T_c,indole_c,mqn8_c,teich_45_BS_c,ps181_c,thf_c
111,fc1p_c,cdpdihpdecg_c,pydx_c,g3p_c,pgp140_c,g3p_c,cu2_c,pe160_c,ru5p_L_c,xan_e
112,2ddecg3p_c,pmtcoa_c,2ddecg3p_c,idp_c,h2o2_c,tyr_L_e,4mop_c,ps141_c,dtdp_c,sttca1_c
113,zn2_e,phyldpp_c,zn2_e,pg181_c,bhb_e,idp_c,nac_e,2dmmql8_c,ins_e,core3_e
114,4adcho_c,dudp_c,ctbt_e,prfp_c,ocACP_c,cbl2_e,pgp140_c,dtdp4d6dg_c,mal_L_c,taur_e
115,phyQ_c,pe180_c,alaasp_e,phom_c,thf_c,pendp_c,succitr_L_c,peai17_c,dmpp_c,ps181_c
116,alaasp_e,fprica_c,cdpdihpdecg_c,3c3hmp_c,2ins_c,pg181_c,h2o2_c,mqn8_c,nicrnt_c,arabttr_e
117,cdpdihpdecg_c,maltpt_c,pmtcoa_c,o2_c,sttca1_c,prfp_c,ocACP_c,cu2_c,ps161_c,dtdp_c
118,acgal_e,7mtoct2eACP_c,dudp_c,dtmp_c,xan_e,phom_c,glyc3p_c,4mop_c,dmbzid_c,ins_e
119,pmtcoa_c,14mpentdecACP_c,ichor_c,glu_D_c,core3_e,3c3hmp_c,thf_c,nac_e,indole_c,mal_L_c
120,phyldpp_c,gthox_e,alac_S_c,12m3htridecACP_c,ps181_c,rmn_c,2ins_c,pgp140_c,g3p_c,dmpp_c
121,dudp_c,na1_e,fprica_c,thymd_c,ru5p_L_c,o2_c,sttca1_c,succitr_L_c,idp_c,nicrnt_c
122,3ig3p_c,2mbutACP_c,maltpt_c,pb_e,dtdp_c,dtmp_c,xan_e,h2o2_c,cbl2_e,4abut_e
123,ichor_c,13mmyrsACP_c,ddca_c,thm_c,dmpp_c,glu_D_c,ha_deg1_e,ocACP_c,prfp_c,ru5p_L_c
124,fprica_c,gchola_e,fru_e,uaaGgla_c,mal_L_c,12m3htridecACP_c,core3_e,glyc3p_c,phom_c,ps161_c
125,alac_S_c,1odecg3p_c,na1_e,ile_L_c,nicrnt_c,thymd_c,ps181_c,thf_c,3c3hmp_c,dmbzid_c
126,maltpt_c,7m3oocACP_c,alagln_e,ai17tcaala_D_c,4abut_e,pb_e,arabttr_e,sttca1_c,o2_c,indole_c
127,sl26da_c,4m3opentACP_c,1odecg3p_c,pydx_c,ps161_c,thm_c,dtdp_c,ha_deg1_e,dtmp_c,g3p_c
128,fru_e,5forthf_c,7m3oocACP_c,Naccitr_L_c,dmbzid_c,ile_L_c,ins_e,core3_e,glu_D_c,idp_c
129,ddca_c,e4hglu_c,4m3opentACP_c,4mhexACP_c,indole_c,uaaGgla_c,mal_L_c,ps181_c,12m3htridecACP_c,cbl2_e
130,glyc45tcaglc_c,thfglu_c,e4hglu_c,2ddecg3p_c,g3p_c,thp2c_c,dmpp_c,arabttr_e,thymd_c,prfp_c
131,na1_e,arg_L_c,arg_L_c,zn2_e,tyr_L_e,alaleu_e,nicrnt_c,dtdp_c,pb_e,phom_c
132,meoh_c,8mdcaACP_c,thfglu_c,phyQ_c,idp_c,pydx_c,4abut_e,ins_e,thm_c,3c3hmp_c
133,alagln_e,peai15_c,2aobut_c,cdpdihpdecg_c,pendp_c,4mhexACP_c,ru5p_L_c,mal_L_c,ile_L_c,rmn_c
134,d5kgp_c,ttdca_e,ribflv_e,pmtcoa_c,prfp_c,Naccitr_L_c,ps161_c,dmpp_c,thp2c_c,o2_c
135,6pgl_c,2aobut_c,10fthf_c,dudp_c,phom_c,2ddecg3p_c,indole_c,nicrnt_c,uaaGgla_c,dtmp_c
136,1odecg3p_c,icolipa_c,cys_L_e,pe180_c,3c3hmp_c,2h3oppan_c,g3p_c,ru5p_L_c,duri_e,glu_D_c
137,imacp_c,ribflv_e,clpn180_c,ichor_c,o2_c,zn2_e,idp_c,ps161_c,myrstca1_c,12m3htridecACP_c
138,e4hglu_c,10fthf_c,frdp_c,fprica_c,dtmp_c,gicolipa_c,cbl2_e,dmbzid_c,pydx_c,thymd_c
139,thfglu_c,isomal_c,dcamp_c,alac_S_c,glu_D_c,alaasp_e,pg181_c,indole_c,fc1p_c,pb_e
140,arg_L_c,cys_L_e,cdpdtdecg_c,7mtoct2eACP_c,12m3htridecACP_c,cdpdihpdecg_c,prfp_c,g3p_c,Naccitr_L_c,thm_c
141,2aobut_c,clpn180_c,1aipdecg3p_c,glyc45tcaglc_c,thymd_c,pmtcoa_c,phom_c,lmn30_e,4mhexACP_c,ile_L_c
142,ribflv_e,frdp_c,clpni15_c,ddca_c,pb_e,dudp_c,3c3hmp_c,idp_c,zn2_e,thp2c_c
143,cpppg1_c,dcamp_c,lcts_e,14mpentdecACP_c,5dglcn_c,3ig3p_c,rmn_c,cbl2_e,2h3oppan_c,uaaGgla_c
144,10fthf_c,fa11_c,fdp_c,fru_e,thm_c,fprica_c,o2_c,pg181_c,4adcho_c,duri_e
145,isomal_c,thm_e,3oocoa_c,na1_e,ile_L_c,alac_S_c,dtmp_c,prfp_c,phyQ_c,myrstca1_c
146,cys_L_e,gmhep17bp_c,g6p_c,gthox_e,uaaGgla_c,maltpt_c,glu_D_c,phom_c,gicolipa_c,pydx_c
147,clpn180_c,1aipdecg3p_c,udcpp_c,2mbutACP_c,thp2c_c,7mtoct2eACP_c,12m3htridecACP_c,3c3hmp_c,pmACP_c,Naccitr_L_c
148,myrstcaacgam_c,clpni15_c,prpp_c,13mmyrsACP_c,alaleu_e,14mpentdecACP_c,thymd_c,rmn_c,cdpdihpdecg_c,4mhexACP_c
149,dcamp_c,cdpdtdecg_c,adn_e,1odecg3p_c,myrstca1_c,ddca_c,pb_e,o2_c,acgal_e,2h3oppan_c
150,frdp_c,6mheptACP_c,tagdp_D_c,5forthf_c,pydx_c,fru_e,thm_c,dtmp_c,pmtcoa_c,zn2_e
151,2ippm_c,gthox_c,glytyr_c,imacp_c,Naccitr_L_c,glyc45tcaglc_c,uaaGgla_c,glu_D_c,phyldpp_c,4adcho_c
152,thm_e,pe161_c,1agpe120_c,7m3oocACP_c,4mhexACP_c,na1_e,ile_L_c,12m3htridecACP_c,dudp_c,phyQ_c
153,fa11_c,forglu_c,suc6p_c,4m3opentACP_c,2ddecg3p_c,meoh_c,thp2c_c,thymd_c,pe180_c,ctbt_e
154,cdpdtdecg_c,fdp_c,met_D_c,thfglu_c,2h3oppan_c,alagln_e,duri_e,pb_e,3ig3p_c,gicolipa_c
155,clpni15_c,g6p_c,so3_c,arg_L_c,zn2_e,2mbutACP_c,myrstca1_c,arabinoxyl_e,ichor_c,pmACP_c
156,1aipdecg3p_c,udcpp_c,glyb_e,8mdcaACP_c,4adcho_c,13mmyrsACP_c,pydx_c,thm_c,fprica_c,cdpdihpdecg_c
157,fdp_c,prpp_c,23dhdp_c,e4hglu_c,alaasp_e,2ddg6p_c,fc1p_c,ile_L_c,alac_S_c,acgal_e
158,g6p_c,adn_e,phthr_c,2aobut_c,cdpdihpdecg_c,1odecg3p_c,Naccitr_L_c,thp2c_c,maltpt_c,pmtcoa_c
159,udcpp_c,pnto_R_e,g3pe_c,ribflv_e,acgal_e,imacp_c,4mhexACP_c,uaaGgla_c,7mtoct2eACP_c,phyldpp_c
160,suc6p_c,cob_c,udpacgal_c,tre6p_c,pmtcoa_c,7m3oocACP_c,2h3oppan_c,duri_e,14mpentdecACP_c,dudp_c
161,met_D_c,glytyr_c,1odec11eg3p_c,10fthf_c,dudp_c,4m3opentACP_c,zn2_e,myrstca1_c,ddca_c,pe180_c
162,prpp_c,tagdp_D_c,ficytC_c,cys_L_e,pe180_c,e4hglu_c,4adcho_c,lmn2_e,na1_e,3ig3p_c
163,glytyr_c,so3_c,pgi16_c,clpn180_c,3ig3p_c,thfglu_c,phyQ_c,pydx_c,meoh_c,ichor_c
164,1agpe120_c,phthr_c,2oph_c,dcamp_c,ichor_c,arg_L_c,ctbt_e,fc1p_c,2mbutACP_c,fprica_c
165,so3_c,23dhdp_c,man_c,frdp_c,fprica_c,8mdcaACP_c,gicolipa_c,Naccitr_L_c,2ddg6p_c,alac_S_c
166,phthr_c,phphhlipa_c,arsenb_c,2ippm_c,alac_S_c,copre5_c,pmACP_c,4mhexACP_c,gchola_e,maltpt_c
167,23dhdp_c,1odec11eg3p_c,hkmpp_c,cdpdtdecg_c,maltpt_c,ttdca_e,cdpdihpdecg_c,zn2_e,13mmyrsACP_c,7mtoct2eACP_c
168,glyb_e,udpacgal_c,3oddecACP_c,1aipdecg3p_c,7mtoct2eACP_c,2aobut_c,acgal_e,2h3oppan_c,7m3oocACP_c,14mpentdecACP_c
169,udpacgal_c,14mtpalm2eACP_c,clpni16_c,clpni15_c,fru_e,icolipa_c,pmtcoa_c,4adcho_c,4m3opentACP_c,ddca_c
170,g3pe_c,ficytC_c,6a2ohxnt_c,6mheptACP_c,14mpentdecACP_c,ribflv_e,cspg_a_e,phyQ_c,imacp_c,na1_e
171,HC00695_c,lipidX_c,val_L_c,gthox_c,ddca_c,10fthf_c,phyldpp_c,gicolipa_c,peai15_c,meoh_c
172,1odec11eg3p_c,octdp_c,1aihpdecg3p_c,lcts_e,glyc45tcaglc_c,ascb6p_c,dudp_c,pmACP_c,e4hglu_c,2mbutACP_c
173,ficytC_c,pgi16_c,glytyr_e,fdp_c,na1_e,cys_L_e,pe180_c,cdpdihpdecg_c,thfglu_c,2ddg6p_c
174,acnam_c,4abz_c,alahis_e,g6p_c,alagln_e,clpn180_c,3ig3p_c,acgal_e,arg_L_c,6pgl_c
175,pgi16_c,psi14_c,pg140_c,udcpp_c,d5kgp_c,frdp_c,ichor_c,pmtcoa_c,8mdcaACP_c,gchola_e
176,octdp_c,2oph_c,malthp_c,3oocoa_c,2mbutACP_c,fa11_c,fprica_c,cspg_a_e,1odecg3p_c,13mmyrsACP_c
177,4abz_c,alpro_c,leu_L_c,suc6p_c,2ddg6p_c,2ippm_c,alac_S_c,phyldpp_c,ttdca_e,7m3oocACP_c
178,csn_e,3oddecACP_c,ctp_c,tagdp_D_c,13mmyrsACP_c,thm_e,maltpt_c,dudp_c,2aobut_c,5forthf_c
179,clpni16_c,clpni16_c,clpnai15_c,met_D_c,1odecg3p_c,dcamp_c,7mtoct2eACP_c,pe180_c,icolipa_c,4m3opentACP_c
180,thym_c,val_L_c,hexdp_c,glytyr_c,7m3oocACP_c,gmhep17bp_c,fru_e,3ig3p_c,10fthf_c,imacp_c
181,6a2ohxnt_c,1aihpdecg3p_c,1tdec7eg3p_c,prpp_c,4m3opentACP_c,cdpdtdecg_c,14mpentdecACP_c,fprica_c,cys_L_e,peai15_c
182,val_L_c,acACP_c,14m3opalmACP_c,1agpe120_c,imacp_c,1aipdecg3p_c,ddca_c,alac_S_c,clpn180_c,thfglu_c
183,1aihpdecg3p_c,pg140_c,abt_c,so3_c,actn_S_c,clpni15_c,na1_e,maltpt_c,myrstcaacgam_c,arg_L_c
184,glytyr_e,prodthl_c,ihdcoa_c,phthr_c,thfglu_c,6mheptACP_c,meoh_c,7mtoct2eACP_c,dcamp_c,8mdcaACP_c
185,alahis_e,malthp_c,h2mb4p_c,23dhdp_c,arg_L_c,fdp_c,2mbutACP_c,Tyr_ggn_e,frdp_c,e4hglu_c
186,rbl_L_c,leu_L_c,lys_L_e,glyb_e,8mdcaACP_c,3oocoa_c,2ddg6p_c,fru_e,2ippm_c,copre5_c
187,pg140_c,clpnai15_c,maltttr_c,udpacgal_c,peai15_c,g6p_c,6pgl_c,14mpentdecACP_c,fa11_c,ttdca_e
188,malthp_c,fa6_c,lcts_c,g3pe_c,copre5_c,udcpp_c,sucorn_c,ddca_c,gmhep17bp_c,2aobut_c
189,leu_L_c,1tdec7eg3p_c,na1_c,1odec11eg3p_c,2aobut_c,prpp_c,13mmyrsACP_c,na1_e,cdpdtdecg_c,icolipa_c
190,ser_D_e,14m3opalmACP_c,pgi17_c,14mtpalm2eACP_c,ribflv_e,pnto_R_e,7m3oocACP_c,meoh_c,clpni15_c,tre6p_c
191,clpnai15_c,ppgpp_c,cdpditdecg_c,ficytC_c,diglcpg160_c,tagdp_D_c,4m3opentACP_c,2mbutACP_c,1aipdecg3p_c,isochol_e
192,fa6_c,din_e,gcald_c,pgi16_c,10fthf_c,glytyr_c,imacp_c,2ddg6p_c,6mheptACP_c,10fthf_c
193,1tdec7eg3p_c,fa4_c,glyclt_c,octdp_c,cys_L_e,1agpe120_c,peai15_c,6pgl_c,egACPm_c,clpn180_c
