,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,0.0,0.2375886524822695,0.1950354609929078,0.19858156028368795,0.2624113475177305,0.19858156028368795,0.23404255319148937,0.23404255319148937,0.22340425531914893,0.23049645390070922
Alistipes_putredinis_DSM_17216,0.2561728395061728,0.0,0.2839506172839506,0.21604938271604937,0.3487654320987654,0.24691358024691357,0.43209876543209874,0.41358024691358025,0.3950617283950617,0.38271604938271603
Anaerococcus_hydrogenalis_DSM_7454,0.16822429906542055,0.21313603322949115,0.0,0.13317757009345793,0.18691588785046728,0.08411214953271028,0.24506749740394598,0.23104880581516093,0.18431983385254413,0.18665628245067498
Anaerofustis_stercorihominis_DSM_17244,0.10052910052910052,0.14682539682539683,0.07275132275132275,0.0,0.1388888888888889,0.08994708994708996,0.24074074074074073,0.2328042328042328,0.17857142857142858,0.18121693121693122
Anaerostipes_caccae_DSM_14662,0.12121212121212122,0.10037878787878787,0.056818181818181816,0.09532828282828282,0.0,0.045454545454545456,0.13636363636363635,0.12878787878787878,0.0946969696969697,0.1268939393939394
Anaerotruncus_colihominis_DSM_17241,0.10584152689415847,0.09682172464127352,0.03606543832107742,0.10410641989589357,0.08857308105428406,0.0,0.18487151945798563,0.17967996915365336,0.14709851551956812,0.14208598419124735
Bacteroides_caccae_ATCC_43185,0.14516129032258066,0.20161290322580644,0.1774193548387097,0.21370967741935484,0.21774193548387097,0.1935483870967742,0.0,0.04032258064516129,0.0954301075268817,0.07526881720430106
Bacteroides_cellulosilyticus_DSM_14838,0.13138686131386862,0.1897810218978102,0.16058394160583941,0.22262773722627738,0.17518248175182483,0.17518248175182483,0.014598540145985401,0.0,0.09367396593673966,0.051094890510948905
Bacteroides_coprophilus_DSM_18228,0.13302752293577982,0.2018348623853211,0.16972477064220184,0.21559633027522937,0.20642201834862386,0.21100917431192662,0.05504587155963303,0.07339449541284404,0.0,0.03669724770642202
Bacteroides_dorei_DSM_17855,0.13623188405797101,0.19130434782608696,0.1391304347826087,0.2289855072463768,0.18840579710144925,0.17536231884057968,0.09710144927536231,0.0927536231884058,0.07101449275362319,0.0
