,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
39,2agpe161_c,10mundecACP_c,2agpe180_c,tre_e,btn_e,4pasp_c,octeACP_c,btamp_c,glycys_c,cobalt2_e
40,2mop_c,co1dam_c,2agpe140_c,ficytC_c,2hdec9eg3p_c,aspsa_c,fe3_e,btn_e,cgly_e,glutrna_c
41,salcn_e,8mnonACP_c,2tdecg3p_c,ocACP_c,hdeACP_c,hom_L_c,fe2_e,prl45tca_c,chtbs_e,trnaglu_c
42,2tdec7eg3p_c,4mpentACP_c,1agpe140_c,galt_e,1agpe161_c,ficytC_c,btamp_c,ala_B_c,agal1b3agal_e,1ihpdecg3p_c
43,2agpe141_c,rib_D_c,ptrc_e,btamp_c,1agpe181_c,focytC_c,btn_e,12dgr120_c,core4_e,12dihdglyc_c
44,1agpe141_c,drib_c,2tdec7eg3p_c,btn_e,2agpe181_c,lac_L_c,ala_B_c,1ddecg3p_c,core4_rl_e,galt_e
45,gln_L_e,sucr_c,2agpe141_c,dcaACP_c,2agpe161_c,2mpropACP_c,1ipdecg3p_c,12dgr141_c,o2s_c,1hdecg3p_c
46,alagln_e,isomal_c,1agpe141_c,8mnonACP_c,alahis_e,ibcoa_c,1itdecg3p_c,1tdec7eg3p_c,uGgla_c,core5_e
47,alaleu_e,dextrin_e,adprib_c,2hdec9eg3p_c,1agpe120_c,glu5p_c,1tdecg3p_c,tdeACP_c,ala_D_c,gthrd_c
48,glyleu_e,lcts_c,dcyt_c,1agpe161_c,2agpe120_c,glu5sa_c,1hdecg3p_c,ptrc_e,glu_D_c,mi4p_D_c
49,alaglu_e,malthp_c,ura_e,2agpe180_c,2ddecg3p_c,thm_c,1aipdecg3p_c,duri_e,1itdecg3p_c,mi3p_D_c
50,alaasp_e,uGgla_c,nmn_e,1agpe181_c,alaleu_e,thm_e,mi4p_D_c,rib_D_e,12ditdglyc_c,1ihdecg3p_c
51,alagly_e,ala_D_c,glycys_e,2agpe181_c,glyleu_e,2mbcoa_c,mi3p_D_c,drib_c,1ihpdecg3p_c,12dgr160_c
52,alahis_e,26dap_M_e,metsox_S_L_e,2agpe161_c,2agpe180_c,2mbutACP_c,1ddecg3p_c,2ameph_c,1hdecg3p_c,1itdecg3p_c
53,glu_L_e,glu_D_c,met_L_e,1agpe160_c,2odecg3p_c,fru_c,1ihpdecg3p_c,1odecg3p_c,12dgr160_c,pheme_e
54,glycys_e,pnto_R_e,glymet_e,2agpe160_c,1agpe180_c,fru_e,1aihpdecg3p_c,12dgr180_c,1ihdecg3p_c,ficytC_c
55,cgly_e,pant_R_c,metala_e,hexACP_c,ptrc_e,cobalt2_c,1tdec7eg3p_c,12dipdglyc_c,12dixdglyc_c,1aipdecg3p_c
56,uGgla_c,glycys_c,ala_B_c,1agpe180_c,1agpe160_c,cobalt2_e,tdeACP_c,1ipdecg3p_c,hdeACP_c,12daipdglyc_c
57,glu_D_c,cgly_c,tdeACP_c,2hdecg3p_c,2agpe160_c,glutrna_c,co1dam_c,1itdecg3p_c,12dgr161_c,12dixdglyc_c
58,gal1a3acgal_e,suchms_c,hdeACP_c,6mheptACP_c,2hdecg3p_c,trnaglu_c,cbl1_e,12ditdglyc_c,1hdec9eg3p_c,fe3_e
59,core8_e,mqn7_e,2agpe120_c,uaaAgla_c,2agpe140_c,for_c,adocbl_e,1aihpdecg3p_c,g3pg_c,fe2_e
60,pppi_c,but_e,2ddecg3p_c,2agpe140_c,2tdecg3p_c,for_e,1odecg3p_c,12daihdglyc_c,g3pe_c,tchola_e
61,raffin_c,ficytC_c,1agpe120_c,2tdecg3p_c,1agpe140_c,2h3oppan_c,ptrc_e,1ihdecg3p_c,g3pc_c,gchola_e
62,sucr_e,ppgpp_c,octeACP_c,1agpe140_c,glytyr_e,glyc_R_c,1ihdecg3p_c,12dixdglyc_c,12dgr140_c,btamp_c
63,sucr_c,duri_e,thymd_c,10mundecACP_c,2tdec7eg3p_c,ribflv_c,duri_e,1tdecg3p_c,1aipdecg3p_c,btn_e
64,glc_D_e,dgsn_e,uGgla_c,2tdec7eg3p_c,2agpe141_c,ribflv_e,ura_e,12dgr140_c,12daipdglyc_c,12ditdglyc_c
65,isomal_c,h2s_c,ala_D_c,2agpe141_c,tdeACP_c,mi4p_D_c,adprib_c,1hdecg3p_c,1odec11eg3p_c,dgchol_e
66,dextrin_e,5fthf_c,26dap_M_e,1agpe141_c,1agpe141_c,arbt_e,rib_D_e,12dgr160_c,octeACP_c,tdchola_e
67,lcts_c,din_e,glu_D_c,4mpentACP_c,glycys_e,4mhetz_c,drib_c,1aipdecg3p_c,12dgr181_c,12dipdglyc_c
68,malthx_e,adocbi_c,fru_e,man_e,cgly_e,2odec11eg3p_c,2ameph_c,12daipdglyc_c,ala_B_c,1ipdecg3p_c
69,malttr_e,o2s_c,man_e,sbt_D_e,cdp_c,12dgr141_c,g3pg_c,1ihpdecg3p_c,12dgr141_c,12dgr120_c
70,malt_e,gthox_e,sbt_D_e,mnl_e,uGgla_c,mi3p_D_c,g3pe_c,12dihdglyc_c,1tdec7eg3p_c,1ddecg3p_c
71,dha_c,,mnl_e,gam_e,ala_D_c,12dgr161_c,g3pc_c,g3pg_c,tdeACP_c,1aihpdecg3p_c
72,1agpg161_c,,suc6p_c,glc_D_e,glu_D_c,12dgr120_c,man_e,g3pe_c,12dipdglyc_c,12daihdglyc_c
73,2agpg141_c,,sucr_c,lcts_e,thm_c,glyphe_e,tre_e,g3pc_c,1ipdecg3p_c,1odecg3p_c
74,1agpg141_c,,malttr_c,sucr_e,adprib_c,1agpe181_c,sucr_e,salcn_e,12dgr120_c,12dgr180_c
75,2agpg181_c,,glc_D_e,salcn_e,2ddglcn_c,2agpe181_c,malttr_c,uGgla_c,1ddecg3p_c,ptrc_e
76,2agpg161_c,,glc_bD_c,malt_e,inost_c,2agpe161_c,cellb_e,ala_D_c,1odecg3p_c,1tdecg3p_c
77,1agpg181_c,,raffin_e,uGgla_c,galt_e,2hdec9eg3p_c,s_c,glu_D_c,1aihpdecg3p_c,12dgr140_c
78,adprib_c,,lcts_e,thymd_e,man_e,hdeACP_c,cgly_c,octdp_c,ppgpp_c,duri_e
79,ura_e,,malt_e,pi_e,sarcs_c,1agpe161_c,glycys_c,2ombz_c,hxan_e,adprib_c
80,1itdecg3p_c,,drib_e,12dgr141_c,sbt_D_e,glypro_e,suc6p_c,pre3b_c,5mta_c,drib_e
81,1ihpdecg3p_c,,g3pc_c,tdeACP_c,xylu_D_c,pi_e,2pglyc_c,no2_e,2ombz_c,2ameph_c
82,1agpg160_c,,xylu_D_c,12dgr161_c,salcn_e,pnto_R_e,e4hglu_c,nmn_c,octdp_c,g3pe_c
83,2agpg160_c,,ocdcaACP_c,hdeACP_c,arbt_e,e4hglu_c,arg_L_e,dgsn_e,s_c,g3pc_c
84,1agpe160_c,,stcoa_c,12dgr181_c,malttr_c,salcn_e,pi_e,cbl1_e,2shchc_c,g3pg_c
85,2agpe160_c,,ipdcoa_c,octeACP_c,cellb_e,alahis_e,octdp_c,dmbzid_c,din_e,man_e
86,2hdecg3p_c,,pmtcoa_c,ala_B_c,strch1_e,octeACP_c,2ombz_c,adocbl_e,dgsn_e,arabttr_e
87,1agpg180_c,,palmACP_c,12dgr120_c,mnl_e,12dgr181_c,nmn_c,thrp_c,xan_e,rbl_D_c
88,2agpe180_c,,myrsACP_c,1agpe120_c,mqn8_c,glyleu_e,ppgpp_c,cgly_c,appl_c,thm_c
89,2odecg3p_c,,aihpdcoa_c,2agpe120_c,q8_c,alaleu_e,thm_c,glycys_c,cbl1_e,cgly_c
90,1agpe180_c,,itdcoa_c,2ddecg3p_c,2pglyc_c,2tdec7eg3p_c,chtbs_e,s_c,adocbl_e,glycys_c
91,2agpg180_c,,2agpg120_c,glu_D_c,ppgpp_c,2agpe141_c,uGgla_c,metala_e,thrp_c,metsox_S_L_e
92,1agpg140_c,,1agpg140_c,cgly_c,xan_e,tdeACP_c,ala_D_c,o2s_c,co1dam_c,2ombz_c
93,2agpe140_c,,2agpg181_c,glycys_c,drib_c,1agpe141_c,glu_D_c,thm_c,dmbzid_c,5mta_c
94,2tdecg3p_c,,2agpg161_c,mthgxl_c,2ameph_c,gal_e,no2_e,2pglyc_c,nmn_c,nmn_c
95,1agpe140_c,,1agpg161_c,gthox_e,alathr_e,man_e,acACP_c,e4hglu_c,2pglyc_c,xan_e
96,2agpg140_c,,1agpg160_c,q8_e,thrp_c,xylu_D_c,ha_e,rbl_D_c,e4hglu_c,cbl1_e
97,1aipdecg3p_c,,1agpg180_c,l2a6o_c,5mta_c,rbl_L_c,agal1b3agal_e,arabttr_e,fe3_e,adocbl_e
98,ala_B_c,,1agpg141_c,gln_L_e,acon_T_c,3ig3p_c,core7_e,h2s_c,cit_e,thrp_c
99,1ipdecg3p_c,,2agpg160_c,no2_c,pre3b_c,glcn_c,sTn_antigen_e,chtbs_e,chols_c,din_e
100,1agpg120_c,,2agpg141_c,adprib_c,5mthglu_c,adprib_c,core4_e,ha_e,suc6p_c,dgsn_e
101,2agpg120_c,,1agpg181_c,rib_D_e,dtbt_c,uGgla_c,core5_e,core4_e,mantr_e,ala_B_c
102,1agpe120_c,,2agpg180_c,5mta_c,5fthf_c,ala_D_c,acnam2a6agal_e,arg_L_e,lcts_e,uGgla_c
103,2agpe120_c,,2agpg140_c,2ombz_c,glymet_e,26dap_M_e,core4_rl_e,agal1b3agal_e,gal1a3acgal_e,ala_D_c
104,2ddecg3p_c,,1agpg120_c,2dmmq8_e,2mnptl_c,l2a6o_c,o2s_c,core5_e,pi_e,glu_D_c
105,hdeACP_c,,ihpdcoa_c,dann_c,h2s_c,glu_D_c,rbl_D_c,core4_rl_e,core8_e,dmbzid_c
106,myrsACP_c,,aipdcoa_c,s_c,s_c,ura_e,arabttr_e,5fthf_c,dsT_antigen_rl_e,pre3b_c
107,octeACP_c,,glytyr_e,succoa_c,met_L_e,xan_e,5fthf_c,cdp_c,dsT_antigen_e,pro_L_e
108,1odecg3p_c,,glyphe_e,h2s_c,metala_e,alathr_e,5mta_c,ppgpp_c,gncore2_e,h2s_c
109,1hdecg3p_c,,2dmmql8_c,fru_e,dmbzid_c,drib_e,dgsn_e,chols_c,gncore2_rl_e,acACP_c
110,1odec11eg3p_c,,h2s_c,12dipdglyc_c,e4hglu_c,cbl1_e,xan_e,cspg_c_e,stys_e,2pglyc_c
111,1tdec7eg3p_c,,succoa_c,12ditdglyc_c,2dmmq8_c,cbl2_e,din_e,cspg_a_e,raffin_e,e4hglu_c
112,tdeACP_c,,dhpt_c,12dgr180_e,kestopt_e,nmn_e,chols_c,cspg_b_e,5fthf_c,o2s_c
113,palmACP_c,,5fthf_c,12dixdglyc_c,kestottr_e,dmbzid_c,cspg_c_e,hspg_e,hco3_c,octdp_c
114,1hdec9eg3p_c,,thm_c,12dgr140_c,sbt_D_c,adocbl_e,cspg_a_e,din_e,malt_e,2shchc_c
115,1tdecg3p_c,,alathr_e,12dgr160_c,sucr_e,thrp_c,cspg_b_e,cobalt2_e,h2o_e,pre6a_c
116,ocdcaACP_c,,hco3_c,12daipdglyc_c,stys_e,csn_e,2shchc_c,pre6a_c,,s_c
117,1ddecg3p_c,,glygln_e,1agpg180_c,lcts_c,tartr_L_c,salcn_e,acACP_c,,ppgpp_c
118,1aihpdecg3p_c,,alagln_e,1agpg140_c,mantr_e,glytyr_e,metala_e,suc6p_c,,chols_c
119,1ihdecg3p_c,,cgly_e,1agpg160_c,gal1a3acgal_e,pre3b_c,hco3_c,sucr_e,,chtbs_e
120,glymet_e,,5mta_c,2agpg160_c,core8_e,met_L_e,pect_e,levan1000_e,,agal1b3agal_e
121,metsox_S_L_e,,xan_e,1agpg161_c,glu_L_e,glymet_e,homogal_e,cellb_e,,core4_e
122,met_L_e,,,2agpg141_c,glypro_e,metala_e,kestottr_e,bglc_e,,core4_rl_e
123,metala_e,,,1agpg120_c,pi_e,cyst_L_c,kesto_e,lichn_e,,glc_D_e
124,arg_L_e,,,1agpg141_c,raffin_e,glycys_e,inulin_e,lmn30_e,,suc6p_c
125,l2a6o_c,,,2agpg181_c,kesto_e,o2s_c,melib_e,hco3_c,,sbt_D_c
126,octdp_c,,,2agpg120_c,1agpg180_c,hco3_c,stys_e,inulin_e,,sucr_e
127,2ombz_c,,,2agpg161_c,1agpg140_c,cgly_e,mantr_e,stys_e,,malttr_c
128,ptrc_c,,,1agpg181_c,1agpg160_c,dhpt_c,pecticgal_e,mantr_e,,stys_e
129,ametam_c,,,2agpg180_c,2agpg160_c,5fthf_c,gal1a3acgal_e,pecticgal_e,,mantr_e
130,dhnpt_c,,,2agpg140_c,1agpg161_c,rbl_D_c,arabinogal_e,gal1a3acgal_e,,gal1a3acgal_e
131,4abz_c,,,5fthf_c,2agpg141_c,12dgr180_c,core8_e,arabinogal_e,,core8_e
132,5fthf_c,,,thm_c,1agpg120_c,2odecg3p_c,dsT_antigen_rl_e,pi_e,,dsT_antigen_rl_e
