,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
40,prl45tcaglc_c,dhf_c,1ihdecg3p_c,3opalmACP_c,3opalmACP_c,ihdcoa_c,hhlipa_c,2dda7p_c,cytd_c,4mhexACP_c
41,3dhsk_c,8m3hdcaACP_c,cdpdaihpdecg_c,ocdcea_c,ocdcea_c,pgp161_c,12m3otridecACP_c,hhlipa_c,12m3otridecACP_c,pmtcoa_c
42,hethmpp_c,tddec2eACP_c,udcpdp_c,23dhmp_c,i16tca1_c,dad_2_c,4mhexACP_c,hspg_degr_15_e,4mhexACP_c,clpni16_c
43,nicrns_c,met_L_e,2mp2coa_c,gdp_c,23dhmp_c,acorn_c,pmtcoa_c,12m3otridecACP_c,pmtcoa_c,dhf_c
44,h2mb4p_c,3opalmACP_c,thr_L_e,ihdcoa_c,gdp_c,hdca_e,clpni16_c,4mhexACP_c,clpni16_c,cdpdihdecg_c
45,glc_D_c,thm_c,2pg_c,10mtddec2eACP_c,ihdcoa_c,pgp141_c,cdpdihdecg_c,pmtcoa_c,dhf_c,8m3hdcaACP_c
46,pgpi15_c,sl2a6o_c,ump_c,pgp161_c,pgp161_c,prl45tcaglc_c,dhf_c,clpni16_c,cdpdihdecg_c,tddec2eACP_c
47,2dr1p_c,isocapr_e,duri_c,aihpdcoa_c,dad_2_c,3dhsk_c,8m3hdcaACP_c,cdpdihdecg_c,8m3hdcaACP_c,3opalmACP_c
48,dxyl5p_c,kdo2lipid4_c,pa140_c,dad_2_c,acorn_c,acglu_c,tddec2eACP_c,dhf_c,tddec2eACP_c,met_L_e
49,air_c,gdp_c,clpni15_c,acorn_c,pgp141_c,hethmpp_c,rmn_e,8m3hdcaACP_c,3opalmACP_c,3opACPm_c
