,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
70,mg2[e],nh4[e],ca2[e],cys_L[e],ala_L[e],acgam[e],f1a[e],hspg_degr_9[e],asn_L[e],ptrc[e]
71,glymet[e],gthox[e],zn2[e],malt[e],core5[e],ocdca[e],nh4[e],gncore1[e],sT_antigen[e],ppi[e]
72,fe3[e],adn[e],glyglu[e],pydx[e],acgal[e],ptrc[e],k[e],stys[e],gncore1_rl[e],asn_L[e]
73,cobalt2[e],duri[e],gly[e],cd2[e],agam1b3agal[e],cbl2[e],cspg_b_degr[e],adocbl[e],ser_L[e],sT_antigen[e]
74,lys_L[e],isocapr[e],ptrc[e],acgam[e],nac[e],thr_L[e],gal1b3acgal[e],meoh[e],ala_L[e],isochol[e]
75,sTn_antigen[e],cytd[e],lac_L[e],ac[e],btn[e],co2[e],metala[e],pheme[e],core5[e],rmn[e]
76,metsox_R_L[e],lys_L[e],thr_L[e],for[e],mg2[e],alltn[e],gbbtn[e],indole[e],acgal[e],gncore1_rl[e]
77,ile_L[e],thymd[e],co2[e],lanost[e],glymet[e],alagln[e],kesto[e],f1a[e],agam1b3agal[e],ser_L[e]
78,zn2[e],phe_L[e],alagln[e],lcts[e],fe3[e],urea[e],ptrc[e],hspg_degr_7[e],nac[e],core5[e]
79,thm[e],gsn[e],glyc[e],mqn7[e],metsox_R_L[e],alaglu[e],ppi[e],hspg_degr_2[e],btn[e],acgal[e]
80,glu_L[e],h2[e],alaglu[e],fe2[e],glu_L[e],cbl1[e],cspg_a_degr[e],nh4[e],cit[e],agam1b3agal[e]
81,core8[e],ppi[e],cys_L[e],gln_L[e],core8[e],cellb[e],rmn[e],gam26s[e],orn[e],nac[e]
82,Tn_antigen[e],mqn7[e],for[e],no3[e],Tn_antigen[e],cys_L[e],asn_L[e],cspg_b_degr[e],mg2[e],btn[e]
83,dsT_antigen[e],fe2[e],met_L[e],no2[e],strch1[e],for[e],sT_antigen[e],hspg_degr_3[e],ppa[e],arabttr[e]
84,lac_D[e],ile_L[e],ala_L[e],glyb[e],gncore2_rl[e],met_L[e],arab_L[e],hspg[e],core3[e],mg2[e]
85,xan[e],k[e],o2[e],galt[e],gncore1_rl[e],ala_L[e],gncore1_rl[e],gal1b3acgal[e],fe3[e],ppa[e]
86,4hbz[e],cobalt2[e],nh4[e],gthox[e],kestottr[e],o2[e],ser_L[e],metala[e],sTn_antigen[e],core3[e]
87,tyr_L[e],but[e],h2o[e],,lac_D[e],nh4[e],acgalidour2s[e],arabinan101[e],zn2[e],fe3[e]
88,rib_D[e],hdca[e],cgly[e],,aso4[e],h2o[e],acgalidour[e],ptrc[e],core8[e],sTn_antigen[e]
89,core2[e],,adn[e],,f1a_rl[e],cgly[e],ala_L[e],ppi[e],Tn_antigen[e],glu_L[e]
90,ca2[e],,pro_L[e],,xan[e],mal_L[e],core5[e],cspg_a_degr[e],sucr[e],core8[e]
91,hxan[e],,metala[e],,gal1b3acgal[e],aso3[e],agam1b3agal[e],rmn[e],isobut[e],Tn_antigen[e]
92,glyc3p[e],,mso3[e],,mnl[e],metala[e],nac[e],asn_L[e],dsT_antigen[e],sucr[e]
93,o2[e],,xyl_D[e],,tyr_L[e],arbt[e],btn[e],sT_antigen[e],lac_D[e],met_L[e]
94,nh4[e],,lys_L[e],,ca2[e],met_D[e],arabttr[e],arab_L[e],chor[e],isobut[e]
95,agam1b3agal[e],,met_D[e],,cro4[e],lys_L[e],mg2[e],amylopect900[e],xan[e],dsT_antigen[e]
96,f1a[e],,but[e],,hxan[e],pro_L[e],ppa[e],malttr[e],4hbz[e],lac_D[e]
97,core6[e],,etoh[e],,glyc3p[e],but[e],core3[e],hspg_degr_15[e],ca2[e],12ppd_S[e]
98,acgal[e],,ctbt[e],,o2[e],etoh[e],fe3[e],galmannan[e],cro4[e],xan[e]
99,h2[e],,phe_L[e],,nh4[e],phe_L[e],sTn_antigen[e],gncore1_rl[e],o2[e],4hbz[e]
100,glc_D[e],,orn[e],,aso3[e],arab_L[e],core8[e],ser_L[e],nh4[e],glcur[e]
101,ura[e],,arab_L[e],,acald[e],ddca[e],Tn_antigen[e],acgalidour2s[e],adn[e],4hpro_LT[e]
102,glyphe[e],,alaasp[e],,etoh[e],alaasp[e],strch1[e],acgalidour[e],gncore2[e],rib_D[e]
