3hoctaACP_c	toctd2eACP_c
lys_L_c	pi_c
14mpentdecACP_c	ihdcoa_c
adhlam_c	lpam_c
MGlcn152_e	MGlcn10_e
fdxrd_c	fdxox_c
nadp_c	ppi_c
ddcacoa_c	3otdcoa_c
2p4c2me_c	cmp_c
atp_c	pydx5p_c
9mdcaACP_c	co2_c
accoa_c	3oocoa_c
scl_c	copre2_c
gua_c	dgsn_c
3hdcoa_c	nadh_c
h2o_c	gua_c
cobya_c	ppi_c
g1p_c	dtdpglu_c
lcts_c	gal_c
diglcpgai15_c	h_c
h_c	dnad_c
n6all26d_c	ac_c
4abut_c	4abutn_c
fum_c	25aics_c
nadph_c	3hddecACP_c
g1p_c	glycogen_c
6m3hocACP_c	nadph_c
cobalt2_c	ppi_c
hdcea_c	ppi_c
MGlcn158_rl_e	gal_e
h_c	sucsal_c
h_c	2s5epchc_c
h_c	pe180_c
h2o_c	btn_c
5aprbu_c	pi_c
arbt6p_c	g6p_B_c
h2o_c	asn_L_c
8mdcaACP_c	co2_c
cellb_e	6pgg_c
diglcpg180_c	sttca1_c
chor_c	4adcho_c
10fthf_c	thf_c
h2o_e	MGlcn161_e
2agpe160_c	hdca_c
dtmp_c	pi_c
tyr_L_c	4hba_c
pb_c	adp_c
h_c	4m3hhexACP_c
fe3_c	PGPm1_c
cl_c	cl_e
h_c	3hmbcoa_c
core2_rl_e	acgam_e
2mahmp_c	thmmp_c
btoh_c	h_c
ddcaACP_c	3omrsACP_c
MGlcn18_rl_e	MGlcn14_rl_e
scl_c	h_c
pi_c	gua_c
psi17_c	co2_c
MGlcn137_e	acgam_e
h2o_c	6a2ohxnt_c
h_e	asp_L_c
clpn160_c	pg160_c
mantr_c	gal_c
ppi_c	fa6_c
grdp_c	ppi_c
h2o_c	xtsn_c
f6p_c	pi_c
h2o_c	glyb_c
4ppan_c	amp_c
malACP_c	10m3oundecACP_c
k_c	pi_c
so4_c	pi_c
glyasp_e	h_c
MGlcn152_e	acgam_e
bhb_c	bhb_e
nad_c	tag6p_D_c
MGlcn89_rl_e	MGlcn109_rl_e
MGlcn139_rl_e	MGlcn143_rl_e
MGlcn23_rl_e	acgam_e
fad_c	ppi_c
glyald_c	nad_c
accoa_c	3c3hmp_c
uaagmda_c	uaagtmda_c
hg2_c	hg2_e
gtp_c	for_c
nadp_c	3odecACP_c
glyglu_e	h_c
acgam_e	h_c
glu_L_c	orn_c
glygln_e	glygln_c
2dhp_c	nadp_c
h2o_c	dad_2_c
3omrsACP_c	nadp_c
ibcoa_c	2mpropACP_c
trdrd_c	ac_c
pppi_c	atp_c
dhap_c	tagdp_D_c
pg140_c	clpn140_c
ile_L_c	glu_L_c
MGlcn151_rl_e	MGlcn3_rl_e
2mbutACP_c	2mbcoa_c
MGlcn185_e	MGlcn12_e
eig3p_c	imacp_c
fdp_c	g3p_c
his_L_c	h2o_c
octeACP_c	1odec11eg3p_c
pg160_c	clpn160_c
utp_c	atp_c
atp_c	ugmda_c
MGlcn167_e	acgam_e
h_c	9m3hdcaACP_c
prbatp_c	h_c
gln_L_c	amp_c
fmn_c	ppi_c
coa_c	ppcoa_c
h2o_c	gsn_c
nad_c	dtdp_c
nad_c	fdxox_c
h_c	diglcpgai15_c
cdpdodec11eg_c	cmp_c
cdp_c	trdox_c
PGP_c	pi_c
cpppg3_c	co2_c
thr_L_e	h_c
atp_c	co2dam_c
MGlcn112_e	gal_e
alathr_c	thr_L_c
3mob_c	coa_c
co2_e	co2_c
ac_c	trdrd_c
dcyt_c	duri_c
prlp_c	h_c
paai15_c	ppi_c
3mob_c	val_L_c
pydam_c	h_c
orot_c	ppi_c
6pgg_c	glc_D_c
ppi_c	asp_L_c
aihpdcoa_c	fa12_c
alagly_c	gly_c
dgdp_c	adp_c
h_c	12m3otridecACP_c
imp_c	fprica_c
glu_L_c	pi_c
1ipdecg3p_c	coa_c
tyr_L_c	amp_c
fe3_c	adp_c
core6_e	acgam_e
amopbut_L_c	3a2opp_c
h_c	4abut_e
3hddcoa_c	h_c
ficytC_c	pyr_c
MGlcn97_e	MGlcn78_e
2dr5p_c	acald_c
h2o_e	MGlcn116_rl_e
xtsn_c	r1p_c
gln_L_c	PGPm1_c
mn2_e	mn2_c
MGlcn170_e	acgam_e
h_e	melib_c
2agpg161_c	h_c
pre4_c	pre5_c
h_c	ala_L_c
26dap_M_c	pi_c
asp_L_c	succ_c
8m3hdcaACP_c	8mtdec2eACP_c
malACP_c	14m3opentdecACP_c
succ_e	h_c
ura_c	uri_c
atp_c	alagln_c
lipoate_c	ppi_c
pgai17_c	clpnai17_c
2mbutACP_c	ACP_c
glx_c	glyclt_c
cdpdaipdecg_c	cmp_c
alagln_c	ala_L_c
copre4_c	h_c
glyc3p_c	1tdecg3p_c
pyr_c	accoa_c
thf_c	adp_c
glyc_R_c	2h3oppan_c
man_e	pyr_c
zn2_c	PGPm1_c
pgi17_c	glyc_c
3c4mop_c	nad_c
histl_L_c	histd_c
MGlcn196_e	T_antigen_e
akg_c	34hpp_c
na1_e	pi_c
fgam_c	pi_c
tyr_L_c	PGPm1_c
dnad_c	h_c
atp_c	alahis_c
co2_c	cbmt_c
2ddglcn_c	2ddg6p_c
pydx_c	adp_c
mantr_c	melib_c
strch2_e	glc_D_e
codhpre6_c	copre8_c
atp_c	thmpp_c
met_L_e	adp_c
cdp_c	h2o_c
h2mb4p_c	h2o_c
pa140_c	cdpdtdecg_c
pro_L_c	biomass_c
atp_c	4pasp_c
glyc3p_c	pgpai17_c
cys_L_c	biomass_c
tartr_L_c	oaa_c
8mnonACP_c	10m3oundecACP_c
salc6p_c	g6p_c
chols_e	h_c
cala_c	co2_c
stys_c	raffin_c
ipdp_c	frdp_c
h2o_e	MGlcn145_rl_e
h2o_c	k_c
alaala_c	pi_c
h_e	glu_L_c
h_c	pei16_c
crn_e	adp_c
arg_L_c	apoACP_c
hdca_c	ppi_c
3hddcoa_c	3oddcoa_c
psai17_c	co2_c
h2o_e	MGlcn10_e
fprica_c	imp_c
2mp2coa_c	3hibutcoa_c
malt_e	h_c
hxan_c	ins_c
MGlcn173_rl_e	MGlcn163_rl_e
malt_c	glc_D_c
h2o_e	MGlcn74_rl_e
h_c	ump_c
h2o_c	fe2_c
trdrd_c	datp_c
7m3hocACP_c	h_c
gcald_c	nadh_c
adp_c	dgtp_c
trp_L_c	biomass_c
4ahmmp_c	adp_c
3ohdcoa_c	nad_c
utp_c	PGPm1_c
ahdt_c	dhnpt_c
nad_c	mlthf_c
12m3htridecACP_c	h_c
dpcoa_c	adp_c
rhcys_c	ahcys_c
ppi_c	fdp_c
dmpp_c	h2mb4p_c
glyc3p_c	ppi_c
his_L_c	apoACP_c
b2coa_c	fdxrd_c
glu_L_c	10fthf5glu_c
MGlcn92_rl_e	MGlcn28_rl_e
nadp_c	glu5p_c
his_L_c	h_e
ser_L_c	adp_c
h2o_c	h_c
o2s_c	o2_c
h_c	abt_c
gam6p_c	gam1p_c
fe2_c	adp_c
4ampm_c	adp_c
nadph_c	8m3hnonACP_c
actp_c	pi_c
asp_L_c	Largn_c
14m3hpalmACP_c	h_c
nh4_c	amp_c
mn2_c	apoACP_c
ipdcoa_c	1ipdecg3p_c
lgt_S_c	h_c
glc_D_c	glc_bD_c
MGlcn137_rl_e	acgam_e
coa_c	pi_c
phthr_c	pi_c
gln_L_c	adp_c
trdox_c	trdrd_c
pro_L_e	adp_c
ocdcaACP_c	1odecg3p_c
gmp_c	adp_c
sucsal_c	nadh_c
glycogen_c	adpglc_c
glyasp_e	glyasp_c
glyc45tcaglc_c	PGPm1_c
tsul_c	trdox_c
glu_L_c	pser_L_c
acgam6p_c	acmanap_c
26dap_LL_c	glu_L_c
atp_c	trdox_c
fa3_c	amp_c
e4p_c	s7p_c
odecoa_c	coa_c
air_c	for_c
dhor_S_c	cbasp_c
udcpdp_c	apoACP_c
udp_c	atp_c
pi_c	h_c
ca2_c	PGPm1_c
h2o_e	MGlcn192_e
glyc3p_c	pgpi17_c
h2o_c	ddca_c
h_c	56dura_c
thf_c	aicar_c
gly_c	PGPm1_c
nadh_c	pi_c
zn2_c	adp_c
akg_c	h2o_c
fum_c	succ_c
tdcoa_c	coa_c
tyr_L_c	adp_c
ala_L_c	alagln_c
h_c	fdxrd_c
h_c	h2o2_c
thym_c	nadp_c
h_c	hom_L_c
nad_c	aspsa_c
nadh_c	12ppd_S_c
co2_c	C11821_c
alaleu_e	adp_c
h2o_e	MGlcn96_rl_e
glyasn_e	glyasn_c
amet_c	pre3a_c
14m3hpentdecACP_c	h2o_c
MGlcn104_e	MGlcn96_e
icit_c	HC01434_c
ppgpp_c	ppi_c
h2o_e	MGlcn71_rl_e
pep_c	suc6p_c
thr_L_c	h_e
2ippm_c	3c2hmp_c
glyc3p_c	pgp181_c
MGlcn174_e	acgam_e
h_c	14m3opentdecACP_c
o2_c	h2o2_c
2agpg180_c	ocdca_c
ibcoa_c	2mp2coa_c
ala_L_c	alahis_c
met_D_e	met_D_c
mg2_c	PGPm1_c
adp_c	glycogenb_c
2mpropACP_c	ibcoa_c
cdpdodec11eg_c	ps181_c
2mbutACP_c	4m3ohexACP_c
1ihdecg3p_c	h_c
2h3oppan_c	nad_c
palmACP_c	ACP_c
thf_c	5thf_c
