cpppg3_c	dad_5_c
atp_c	prbatp_c
dhap_c	fdp_c
h_c	uri_e
val_L_e	val_L_c
his_L_c	alahis_c
citr_L_c	cbp_c
myrstca1_c	udp_c
ACP_c	malACP_c
copre5_c	acald_c
MGlcn146_rl_e	MGlcn144_rl_e
MGlcn138_e	fuc_L_e
uamr_c	adp_c
MGlcn33_e	MGlcn70_e
MGlcn144_rl_e	core2_rl_e
fad_c	fadh2_c
acglu_c	adp_c
tdchola_e	C02528_e
h_e	acgam_c
MGlcn90_e	fuc_L_e
nh4_c	pyr_c
MGlcn90_e	MGlcn27_e
dhor_S_c	orot_c
mal_L_c	h_c
accoa_c	pyr_c
8aonn_c	ala_L_c
MGlcn45_e	gal_e
7m3hocACP_c	7mtoct2eACP_c
3hoctACP_c	toct2eACP_c
h2o_e	MGlcn130_e
atp_c	itdcoa_c
12daihdglyc_c	adp_c
MGlcn177_rl_e	MGlcn108_rl_e
MGlcn93_e	fuc_L_e
glytyr_c	tyr_L_c
h2o_e	MGlcn85_e
malACP_c	3ooctACP_c
h2o_e	MGlcn111_e
nicrnt_c	5prdmbz_c
coa_c	nadh_c
HC01651_c	h_c
mantr_e	h_c
phthr_c	nadh_c
MGlcn182_rl_e	agam1b6agal_e
MGlcn157_e	gal_e
acgam_c	chtbs_c
datp_c	ppi_c
coa_c	apoACP_c
MGlcn99_rl_e	MGlcn161_rl_e
MGlcn59_rl_e	acnam_e
dtdp_c	adp_c
MGlcn96_rl_e	fuc_L_e
thr_L_c	2aobut_c
MGlcn104_e	fuc_L_e
MGlcn164_rl_e	MGlcn174_rl_e
citr_L_c	argsuc_c
air_c	nadh_c
atp_c	paai17_c
dgdp_c	amp_c
10m3oundecACP_c	nadp_c
for_c	h_e
MGlcn42_rl_e	MGlcn34_rl_e
h2o_e	MGlcn193_e
h_c	14m3opalmACP_c
galur_c	galur_e
cu2_c	adp_c
h_c	e4p_c
9m3hdcaACP_c	h_c
i15tca1_c	i15tcaglc_c
asp_L_c	fum_c
3hoctaACP_c	toctd2eACP_c
12ditdglyc_c	h_c
lys_L_c	pi_c
4mtpent2eACP_c	nad_c
