cyst_L_c	pyr_c
h_c	2s5epchc_c
dhna_c	2dmmql8_c
h2o_c	btn_c
h2o_c	asn_L_c
chor_c	4adcho_c
10fthf_c	thf_c
h2o_e	MGlcn161_e
2agpe160_c	hdca_c
MGlcn183_rl_e	MGlcn185_rl_e
dtmp_c	pi_c
tyr_L_c	4hba_c
MGlcn60_e	acnam_e
fe3_c	PGPm1_c
cl_c	cl_e
2dmmq8_c	nad_c
MGlcn101_e	acnam_e
uacgam_c	palmtcaacgam_c
MGlcn135_e	acnam_e
MGlcn118_e	acnam_e
pi_c	gua_c
h2o_e	MGlcn19_rl_e
MGlcn4_rl_e	acnam_e
h2o_c	6a2ohxnt_c
h_e	asp_L_c
uppg3_c	cpppg3_c
clpn160_c	pg160_c
HC01376_c	ivcoa_c
ppi_c	fa6_c
grdp_c	ppi_c
MGlcn136_rl_e	acnam_e
h2o_c	xtsn_c
f6p_c	pi_c
h2o_c	glyb_c
4ppan_c	amp_c
k_c	pi_c
so4_c	pi_c
glyasp_e	h_c
h2o_e	MGlcn6_rl_e
MGlcn139_rl_e	MGlcn143_rl_e
fad_c	ppi_c
glyald_c	nad_c
2dmmql8_c	succ_c
accoa_c	3c3hmp_c
uaagmda_c	uaagtmda_c
gtp_c	for_c
acnam2a6agal_e	acnam_e
myrstca1_c	h_c
glyglu_e	h_c
acgam_e	h_c
MGlcn118_e	MGlcn120_e
glygln_e	glygln_c
2dhp_c	nadp_c
MGlcn100_e	MGlcn66_e
h2o_c	dad_2_c
dextrin_e	dextrin_c
trdrd_c	ac_c
MGlcn150_e	acnam_e
MGlcn144_rl_e	fuc_L_e
MGlcn31_rl_e	MGlcn97_rl_e
MGlcn63_rl_e	MGlcn119_rl_e
pg140_c	clpn140_c
ile_L_c	glu_L_c
q8_c	dhap_c
dsT_antigen_rl_e	MGlcn48_rl_e
glyc3p_c	2dmmql8_c
fdp_c	g3p_c
dhap_c	fc1p_c
his_L_c	h2o_c
MGlcn146_rl_e	MGlcn23_rl_e
pg160_c	clpn160_c
h_c	HC01435_c
utp_c	atp_c
glyc3p_c	fadh2_c
atp_c	ugmda_c
MGlcn80_rl_e	MGlcn83_rl_e
6pgl_c	nadp_c
gln_L_c	amp_c
fmn_c	ppi_c
coa_c	ppcoa_c
h2o_c	gsn_c
sttca1_c	sttcaacgam_c
nad_c	dtdp_c
h_c	thm_c
cdpdodec11eg_c	cmp_c
cdp_c	trdox_c
uacgam_c	ai15tcaacgam_c
PGP_c	pi_c
cpppg3_c	co2_c
thr_L_e	h_c
h2o_e	MGlcn92_rl_e
no2_e	mqn8_c
MGlcn116_e	MGlcn12_e
h_e	no2_c
h_c	q8_c
MGlcn112_e	gal_e
MGlcn190_e	acnam_e
alathr_c	thr_L_c
3mob_c	coa_c
co2_e	co2_c
ac_c	trdrd_c
h_c	mqn8_c
MGlcn122_rl_e	MGlcn15_rl_e
dcyt_c	duri_c
HC01609_c	co2_c
MGlcn127_e	MGlcn61_e
3mob_c	val_L_c
paai15_c	ppi_c
orot_c	ppi_c
ppi_c	asp_L_c
aihpdcoa_c	fa12_c
alagly_c	gly_c
dgdp_c	adp_c
alltn_e	alltn_c
MGlcn60_rl_e	MGlcn128_rl_e
imp_c	fprica_c
MGlcn17_rl_e	fuc_L_e
glu_L_c	pi_c
o2_c	mqn8_c
1ipdecg3p_c	coa_c
tyr_L_c	amp_c
2mbcoa_c	HC01376_c
fe3_c	adp_c
q8_c	h_e
amopbut_L_c	3a2opp_c
ficytC_c	pyr_c
MGlcn97_e	MGlcn78_e
2dr5p_c	acald_c
h2o_e	MGlcn116_rl_e
ivcoa_c	HC01376_c
xtsn_c	r1p_c
gln_L_c	PGPm1_c
mn2_e	mn2_c
2agpg161_c	h_c
26dap_M_c	pi_c
dhna_c	ppi_c
h2o_c	6pgc_c
MGlcn133_e	fuc_L_e
succ_e	h_c
atp_c	alagln_c
lipoate_c	ppi_c
ppp9_c	pheme_c
palmtcaacgam_c	palmtca1_c
pgai17_c	clpnai17_c
cdpdaipdecg_c	cmp_c
alagln_c	ala_L_c
MGlcn70_e	MGlcn74_e
pyr_c	accoa_c
thf_c	adp_c
zn2_c	PGPm1_c
pgi17_c	glyc_c
i15tcaacgam_c	uacgam_c
3c4mop_c	nad_c
MGlcn196_e	T_antigen_e
akg_c	34hpp_c
h_c	utp_c
fgam_c	pi_c
tyr_L_c	PGPm1_c
dnad_c	h_c
myrstcaacgam_c	myrstca1_c
atp_c	alahis_c
co2_c	cbmt_c
atp_c	thmpp_c
met_L_e	adp_c
cdp_c	h2o_c
rmn_c	rml_c
h2o_e	MGlcn76_rl_e
h2mb4p_c	h2o_c
pa140_c	cdpdtdecg_c
h_c	pi_e
pro_L_c	biomass_c
atp_c	4pasp_c
h_e	h2o_e
glyc3p_c	pgpai17_c
cys_L_c	biomass_c
ipdp_c	frdp_c
MGlcn124_rl_e	MGlcn20_rl_e
h2o_e	MGlcn145_rl_e
adp_c	coa_c
alaala_c	pi_c
h_e	glu_L_c
MGlcn62_rl_e	MGlcn57_rl_e
arg_L_c	apoACP_c
hdca_c	ppi_c
fprica_c	imp_c
MGlcn120_e	MGlcn14_e
malt_e	h_c
hxan_c	ins_c
MGlcn173_rl_e	MGlcn163_rl_e
MGlcn32_rl_e	MGlcn83_rl_e
malt_c	glc_D_c
h2o_e	MGlcn74_rl_e
h_c	ump_c
h2o_c	fe2_c
trdrd_c	datp_c
h2o_c	adocbl_c
trp_L_c	biomass_c
adp_c	dgtp_c
h2o_e	MGlcn106_rl_e
utp_c	PGPm1_c
nad_c	mlthf_c
dhna_c	co2_c
dpcoa_c	adp_c
rhcys_c	ahcys_c
ppi_c	fdp_c
dmpp_c	h2mb4p_c
MGlcn75_rl_e	MGlcn74_rl_e
glyc3p_c	ppi_c
his_L_c	apoACP_c
glu_L_c	10fthf5glu_c
MGlcn92_rl_e	MGlcn28_rl_e
nadp_c	glu5p_c
sl26da_c	succ_c
ser_L_c	adp_c
h2o_c	h_c
his_L_c	h_e
mqn8_c	fum_c
h_c	abt_c
gam6p_c	gam1p_c
fe2_c	adp_c
actp_c	pi_c
asp_L_c	Largn_c
nh4_c	amp_c
mn2_c	apoACP_c
lgt_S_c	h_c
MGlcn69_e	MGlcn26_e
MGlcn181_e	MGlcn168_e
MGlcn195_e	fuc_L_e
cys_L_c	pyr_c
coa_c	pi_c
h2o_e	MGlcn80_e
MGlcn50_rl_e	fuc_L_e
phthr_c	pi_c
gln_L_c	adp_c
trdox_c	trdrd_c
h2o_c	lac_L_c
pro_L_e	adp_c
h2o_e	MGlcn83_e
MGlcn102_e	MGlcn130_e
gmp_c	adp_c
glyasp_e	glyasp_c
glyc45tcaglc_c	PGPm1_c
MGlcn51_e	acnam_e
MGlcn147_e	acnam_e
tsul_c	trdox_c
glu_L_c	pser_L_c
MGlcn69_e	fuc_L_e
acgam6p_c	acmanap_c
26dap_LL_c	glu_L_c
atp_c	trdox_c
fa3_c	amp_c
e4p_c	s7p_c
odecoa_c	coa_c
ahcys_c	2dmmq8_c
dhor_S_c	cbasp_c
udcpdp_c	apoACP_c
udp_c	atp_c
pi_c	h_c
ca2_c	PGPm1_c
MGlcn76_rl_e	MGlcn25_rl_e
glyc3p_c	pgpi17_c
h2o_c	ddca_c
thf_c	aicar_c
gly_c	PGPm1_c
nadh_c	pi_c
sucbz_c	amp_c
zn2_c	adp_c
nad_c	udpglcur_c
akg_c	h2o_c
atp_c	cbl2_c
fum_c	succ_c
tdcoa_c	coa_c
cbl1_e	pi_c
tyr_L_c	adp_c
ala_L_c	alagln_c
h_c	fdxrd_c
uacgam_c	i14tcaacgam_c
fc1p_c	lald_L_c
nad_c	aspsa_c
h_c	hom_L_c
h2o_e	MGlcn171_e
cd2_e	k_e
co2_c	C11821_c
alaleu_e	adp_c
h2o_e	MGlcn96_rl_e
glyasn_e	glyasn_c
MGlcn104_e	MGlcn96_e
sttcaacgam_c	sttca1_c
h_c	cytd_e
h2o_e	MGlcn71_rl_e
pep_c	suc6p_c
i16tca1_c	udp_c
thr_L_c	h_e
2ippm_c	3c2hmp_c
glyc3p_c	pgp181_c
o2_c	h2o2_c
