,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,0.0,0.029411764705882353,0.00980392156862745,0.029411764705882353,0.00980392156862745,0.014705882352941176,0.0392156862745098,0.024509803921568627,0.0196078431372549,0.029411764705882353
Alistipes_putredinis_DSM_17216,0.015306122448979591,0.0,0.02040816326530612,0.015306122448979591,0.03571428571428571,0.015306122448979591,0.030612244897959183,0.03571428571428571,0.025510204081632654,0.025510204081632654
Anaerococcus_hydrogenalis_DSM_7454,0.029900332225913623,0.029900332225913623,0.0,0.029900332225913623,0.013289036544850499,0.013289036544850499,0.03322259136212625,0.029900332225913623,0.019933554817275746,0.023255813953488372
Anaerofustis_stercorihominis_DSM_17244,0.02074688796680498,0.012448132780082987,0.008298755186721992,0.0,0.008298755186721992,0.004149377593360996,0.012448132780082987,0.012448132780082987,0.008298755186721992,0.012448132780082987
Anaerostipes_caccae_DSM_14662,0.02263374485596708,0.0205761316872428,0.018518518518518517,0.0205761316872428,0.0,0.00411522633744856,0.0205761316872428,0.01440329218106996,0.012345679012345678,0.01440329218106996
Anaerotruncus_colihominis_DSM_17241,0.025,0.019444444444444445,0.008333333333333333,0.027777777777777776,0.005555555555555556,0.0,0.016666666666666666,0.016666666666666666,0.008333333333333333,0.016666666666666666
Bacteroides_caccae_ATCC_43185,0.030379746835443037,0.035443037974683546,0.007594936708860759,0.03291139240506329,0.007594936708860759,0.005063291139240506,0.0,0.007594936708860759,0.005063291139240506,0.005063291139240506
Bacteroides_cellulosilyticus_DSM_14838,0.04201680672268908,0.012605042016806723,0.004201680672268907,0.02100840336134454,0.004201680672268907,0.004201680672268907,0.0,0.0,0.0,0.0
Bacteroides_coprophilus_DSM_18228,0.04784688995215311,0.019138755980861243,0.004784688995215311,0.028708133971291867,0.009569377990430622,0.004784688995215311,0.009569377990430622,0.009569377990430622,0.0,0.009569377990430622
Bacteroides_dorei_DSM_17855,0.03217821782178218,0.019801980198019802,0.007425742574257425,0.027227722772277228,0.007425742574257425,0.0049504950495049506,0.0024752475247524753,0.0049504950495049506,0.0049504950495049506,0.0
