,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
Actinomyces_odontolyticus_ATCC_17982,1.0,0.22950819672131148,0.21311475409836064,0.04918032786885246,0.32786885245901637,0.39344262295081966,0.22950819672131148,0.32786885245901637,0.5901639344262295,0.21311475409836064
Alistipes_putredinis_DSM_17216,0.2916666666666667,1.0,0.25,0.16666666666666666,0.20833333333333334,0.3333333333333333,0.25,0.3541666666666667,0.375,0.22916666666666666
Anaerococcus_hydrogenalis_DSM_7454,0.21666666666666667,0.2,1.0,0.25,0.45,0.25,0.16666666666666666,0.18333333333333332,0.18333333333333332,0.13333333333333333
Anaerofustis_stercorihominis_DSM_17244,0.046875,0.125,0.234375,1.0,0.078125,0.046875,0.03125,0.046875,0.0625,0.046875
Anaerostipes_caccae_DSM_14662,0.25,0.125,0.3375,0.0625,1.0,0.3625,0.2125,0.3125,0.275,0.2375
Anaerotruncus_colihominis_DSM_17241,0.375,0.25,0.234375,0.046875,0.453125,1.0,0.453125,0.640625,0.53125,0.546875
Bacteroides_caccae_ATCC_43185,0.15730337078651685,0.1348314606741573,0.11235955056179775,0.02247191011235955,0.19101123595505617,0.3258426966292135,1.0,0.7528089887640449,0.5955056179775281,0.6629213483146067
Bacteroides_cellulosilyticus_DSM_14838,0.18018018018018017,0.15315315315315314,0.0990990990990991,0.02702702702702703,0.22522522522522523,0.36936936936936937,0.6036036036036037,1.0,0.6396396396396397,0.5405405405405406
Bacteroides_coprophilus_DSM_18228,0.36,0.18,0.11,0.04,0.22,0.34,0.53,0.71,1.0,0.51
Bacteroides_dorei_DSM_17855,0.14285714285714285,0.12087912087912088,0.08791208791208792,0.03296703296703297,0.2087912087912088,0.38461538461538464,0.6483516483516484,0.6593406593406593,0.5604395604395604,1.0
