,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,gtp[c],colipa[c],gtp[c],glyc45tca[c],gtp[c],colipa[c],gtp[c],gtp[c],gtp[c],gtp[c]
1,tyr_L[c],gtp[c],tyr_L[c],glyc45tcaglc[c],tyr_L[c],gtp[c],colipa[c],colipa[c],colipa[c],colipa[c]
2,mg2[c],tyr_L[c],mg2[c],mqn8[c],mg2[c],tyr_L[c],tyr_L[c],tyr_L[c],tyr_L[c],tyr_L[c]
3,amet[c],mg2[c],amet[c],i17tcaacgam[c],amet[c],mg2[c],mg2[c],mg2[c],mg2[c],mg2[c]
4,PGP[c],amet[c],PGP[c],lys_L[c],PGP[c],amet[c],amet[c],PGP[c],amet[c],PGP[c]
5,so4[c],sheme[c],so4[c],gln_L[c],so4[c],PGP[c],PGP[c],so4[c],PGP[c],so4[c]
6,lys_L[c],adocbl[c],lys_L[c],leu_L[c],lys_L[c],so4[c],so4[c],lys_L[c],so4[c],lys_L[c]
7,cu2[c],PGP[c],cu2[c],ai17tca1[c],cu2[c],lys_L[c],lys_L[c],cu2[c],lys_L[c],cu2[c]
8,proteinsynth[c],mqn8[c],proteinsynth[c],spmd[c],proteinsynth[c],cu2[c],cu2[c],proteinsynth[c],cu2[c],proteinsynth[c]
9,utp[c],pheme[c],utp[c],phe_L[c],utp[c],proteinsynth[c],proteinsynth[c],utp[c],proteinsynth[c],utp[c]
10,fe3[c],thmpp[c],fe3[c],ribflv[c],fe3[c],utp[c],utp[c],fe3[c],utp[c],fe3[c]
11,gln_L[c],clpnai17[c],gln_L[c],ai17tcaacgam[c],leu_L[c],fe3[c],fe3[c],leu_L[c],fe3[c],leu_L[c]
12,leu_L[c],pei17[c],leu_L[c],ptrc[c],fe2[c],leu_L[c],gln_L[c],fe2[c],leu_L[c],fe2[c]
13,ACP[c],so4[c],ACP[c],q8[c],dgtp[c],fe2[c],leu_L[c],dgtp[c],fe2[c],dgtp[c]
14,dgtp[c],lys_L[c],dgtp[c],clpn180[c],datp[c],dgtp[c],fe2[c],datp[c],dgtp[c],datp[c]
15,fe2[c],cu2[c],fe2[c],met_L[c],dnarep[c],datp[c],dgtp[c],dnarep[c],datp[c],dnarep[c]
16,datp[c],proteinsynth[c],datp[c],trp_L[c],ile_L[c],dnarep[c],datp[c],ile_L[c],dnarep[c],ile_L[c]
17,dnarep[c],utp[c],dnarep[c],udcpdp[c],pydx5p[c],ile_L[c],dnarep[c],pydx5p[c],ile_L[c],pydx5p[c]
18,ile_L[c],fe3[c],ile_L[c],ai17tcaglc[c],phe_L[c],pydx5p[c],ile_L[c],phe_L[c],pydx5p[c],phe_L[c]
19,pydx5p[c],gln_L[c],pydx5p[c],arg_L[c],cl[c],phe_L[c],pydx5p[c],cl[c],phe_L[c],cl[c]
20,phe_L[c],10fthf[c],phe_L[c],pro_L[c],rnatrans[c],cl[c],phe_L[c],rnatrans[c],cl[c],rnatrans[c]
21,cl[c],leu_L[c],cl[c],5mthf[c],ribflv[c],rnatrans[c],cl[c],ribflv[c],rnatrans[c],ribflv[c]
22,rnatrans[c],dgtp[c],rnatrans[c],gtp[c],his_L[c],ribflv[c],rnatrans[c],his_L[c],ribflv[c],his_L[c]
23,ribflv[c],fe2[c],ribflv[c],amet[c],dttp[c],his_L[c],ribflv[c],dttp[c],his_L[c],dttp[c]
24,his_L[c],thf[c],his_L[c],PGP[c],cobalt2[c],dttp[c],his_L[c],cobalt2[c],dttp[c],cobalt2[c]
25,dttp[c],datp[c],dttp[c],so4[c],asn_L[c],cobalt2[c],dttp[c],asn_L[c],cobalt2[c],asn_L[c]
26,cobalt2[c],dnarep[c],cobalt2[c],cu2[c],thr_L[c],asn_L[c],cobalt2[c],thr_L[c],asn_L[c],thr_L[c]
27,asn_L[c],ile_L[c],asn_L[c],proteinsynth[c],k[c],thr_L[c],asn_L[c],k[c],thr_L[c],k[c]
28,thr_L[c],spmd[c],thr_L[c],utp[c],dctp[c],k[c],thr_L[c],dctp[c],k[c],dctp[c]
29,k[c],pydx5p[c],k[c],fe3[c],val_L[c],dctp[c],k[c],val_L[c],dctp[c],val_L[c]
30,dctp[c],phe_L[c],dctp[c],dnarep[c],met_L[c],val_L[c],dctp[c],met_L[c],val_L[c],ser_L[c]
31,val_L[c],cl[c],val_L[c],pydx5p[c],fad[c],ser_L[c],val_L[c],fad[c],met_L[c],met_L[c]
32,ser_L[c],rnatrans[c],ser_L[c],rnatrans[c],cys_L[c],met_L[c],met_L[c],cys_L[c],fad[c],fad[c]
33,ala_L[c],asp_L[c],met_L[c],gthrd[c],trp_L[c],fad[c],fad[c],trp_L[c],cys_L[c],cys_L[c]
34,met_L[c],ribflv[c],fad[c],i17tcaala_D[c],ca2[c],cys_L[c],cys_L[c],ca2[c],trp_L[c],trp_L[c]
35,fad[c],pe180[c],cys_L[c],cobalt2[c],udcpdp[c],trp_L[c],trp_L[c],udcpdp[c],ca2[c],ca2[c]
36,cys_L[c],his_L[c],trp_L[c],asn_L[c],arg_L[c],udcpdp[c],ca2[c],arg_L[c],udcpdp[c],udcpdp[c]
37,trp_L[c],gthrd[c],udcpdp[c],dctp[c],zn2[c],ca2[c],udcpdp[c],zn2[c],arg_L[c],arg_L[c]
38,ca2[c],dttp[c],ca2[c],sttcaala_D[c],pro_L[c],arg_L[c],arg_L[c],pro_L[c],zn2[c],zn2[c]
39,udcpdp[c],cobalt2[c],arg_L[c],fad[c],mn2[c],zn2[c],zn2[c],mn2[c],pro_L[c],pro_L[c]
40,arg_L[c],pgi17[c],zn2[c],pgai17[c],,pro_L[c],pro_L[c],,mn2[c],mn2[c]
41,zn2[c],asn_L[c],pro_L[c],i17tca1[c],,mn2[c],mn2[c],,,
42,pro_L[c],thr_L[c],mn2[c],glyc45tcaala_D[c],,,,,,
43,mn2[c],k[c],ctp[c],sttcaacgam[c],,,,,,
44,,dctp[c],,sheme[c],,,,,,
45,,val_L[c],,adocbl[c],,,,,,
46,,ptrc[c],,tcam[c],,,,,,
47,,clpni17[c],,10fthf[c],,,,,,
48,,pg180[c],,thf[c],,,,,,
49,,q8[c],,datp[c],,,,,,
50,,clpn180[c],,ile_L[c],,,,,,
51,,ser_L[c],,thr_L[c],,,,,,
52,,peai17[c],,val_L[c],,,,,,
53,,met_L[c],,clpni17[c],,,,,,
54,,fad[c],,pg180[c],,,,,,
55,,cys_L[c],,ser_L[c],,,,,,
56,,trp_L[c],,cys_L[c],,,,,,
57,,udcpdp[c],,sttca1[c],,,,,,
58,,ca2[c],,i17tcaglc[c],,,,,,
59,,arg_L[c],,sttcaglc[c],,,,,,
60,,zn2[c],,tyr_L[c],,,,,,
61,,pgai17[c],,mg2[c],,,,,,
62,,pro_L[c],,pheme[c],,,,,,
63,,mn2[c],,thmpp[c],,,,,,
64,,5mthf[c],,clpnai17[c],,,,,,
65,,2dmmq8[c],,pei17[c],,,,,,
66,,,,fe2[c],,,,,,
67,,,,dgtp[c],,,,,,
68,,,,ai17tcaala_D[c],,,,,,
69,,,,cl[c],,,,,,
70,,,,pe180[c],,,,,,
71,,,,his_L[c],,,,,,
72,,,,dttp[c],,,,,,
73,,,,pgi17[c],,,,,,
74,,,,k[c],,,,,,
75,,,,peai17[c],,,,,,
76,,,,ala_L[c],,,,,,
77,,,,ca2[c],,,,,,
78,,,,zn2[c],,,,,,
79,,,,mn2[c],,,,,,
80,,,,2dmmq8[c],,,,,,
