,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,2dda7p[c],12mmyrsACP[c],thm[c],2dda7p[c],2dda7p[c],glutrna[c],myrsACP[c],myrsACP[c],amopbut_L[c],myrsACP[c]
1,,kdo2lipid4L[c],adhlam[c],12m3omyrsACP[c],3hhcoa[c],galur[e],galur[e],pgpi15[c],2ameph[c],galur[e]
2,,dcaACP[c],lpam[c],3hhcoa[c],glutrna[c],3hhdcoa[c],arabttr[e],galur[e],glx[c],arabttr[e]
3,,13mmyrsACP[c],dhlam[c],13m3omyrsACP[c],trnaglu[c],ttdca[e],glcur[e],pgpai15[c],15m3hpalmACP[c],clpni16[c]
4,,tdec2eACP[c],,malACP[c],hx2coa[c],cdpdihpdecg[c],4h2oglt[c],arabttr[e],glyc[c],clpnai17[c]
5,,aipdcoa[c],,malcoa[c],,cdpdtdecg[c],2dda7p[c],clpni16[c],4ahmmp[c],clpni14[c]
6,,ipdcoa[c],,11mddcaACP[c],,cdpdipdecg[c],kdo2lipid4L[c],clpnai17[c],dcaACP[c],clpn140[c]
7,,13mtmrs2eACP[c],,hx2coa[c],,2tdecg3p[c],glyclt[c],pgpai17[c],13m3hmyrsACP[c],clpn160[c]
8,,12mtmrs2eACP[c],,10mddcaACP[c],,1agpe140[c],3oddecACP[c],clpni14[c],14m3hpentdecACP[c],gcald[e]
9,,3hdecACP[c],,11mtddec2eACP[c],,cdpdaihpdecg[c],egACPm[c],clpn140[c],fuc_L[c],glcur[e]
10,,13m3hmyrsACP[c],,10mtddec2eACP[c],,cdpditdecg[c],pect[e],clpn160[c],2dda7p[c],4ahmmp[c]
11,,12m3hmyrsACP[c],,btn_co2[c],,2dda7p[c],e4hglu[c],pgp160[c],kdo2lipid4L[c],dhnpt[c]
12,,fa4[c],,apoC_Lys_btn[c],,kdo2lipid4L[c],tmrs2eACP[c],pgpi16[c],14m3hpalmACP[c],2dda7p[c]
13,,fa3[c],,10m3hddcaACP[c],,cdpdhdecg[c],3hgACPm[c],4ahmmp[c],12ppd_S[c],kdo2lipid4L[c]
14,,12m3omyrsACP[c],,11m3hddcaACP[c],,cdpdaipdecg[c],2pglyc[c],glcur[e],12m3hmyrsACP[c],gACPm[c]
