,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,myrsACP[c],frdp[c],myrsACP[c],frdp[c],ca2[e],frdp[c],ca2[e],ca2[e],ca2[e],ca2[e]
1,ca2[e],ca2[e],frdp[c],ca2[e],frdp[c],ca2[e],frdp[c],frdp[c],frdp[c],frdp[c]
2,met_L[e],met_L[e],ca2[e],met_L[e],met_L[e],met_L[e],met_L[e],met_L[e],histd[c],met_L[e]
3,ru5p_D[c],ru5p_D[c],met_L[e],histd[c],ru5p_D[c],histd[c],cpppg3[c],histd[c],mqn8[c],cpppg3[c]
4,mqn8[c],metala[c],ru5p_D[c],metala[c],histd[c],metala[c],histd[c],metala[c],metala[c],histd[c]
5,metala[c],phe_L[e],metala[c],nh4[c],metala[c],phe_L[e],mqn8[c],3mob[c],dann[c],metala[c]
6,phe_L[e],ribflv[e],phe_L[e],ribflv[e],phe_L[e],ribflv[e],metala[c],mn2[e],3mob[c],3mob[c]
7,ribflv[e],3mob[c],ribflv[e],3mob[c],ribflv[e],3mob[c],dann[c],Largn[c],mn2[e],mn2[e]
8,3mob[c],mn2[e],mn2[e],mn2[e],3mob[c],mn2[e],3mob[c],tsul[c],Largn[c],Largn[c]
9,mn2[e],Largn[c],tsul[c],diglcpgi17[c],mn2[e],Largn[c],mn2[e],gdp[c],tsul[c],tsul[c]
10,Largn[c],tsul[c],gdp[c],Largn[c],tsul[c],tsul[c],Largn[c],arg_L[e],gdp[c],gdp[c]
11,tsul[c],gdp[c],arg_L[e],tsul[c],gdp[c],gdp[c],tsul[c],dgdp[c],arg_L[e],arg_L[e]
12,gdp[c],glyasp[c],dgdp[c],gdp[c],dgdp[c],dgdp[c],gdp[c],glyasn[c],dgdp[c],dgdp[c]
13,arg_L[e],arg_L[e],glyasn[c],arg_L[e],glyasn[c],glyasn[c],arg_L[e],cobalt2[e],glyasn[c],glyasn[c]
14,dgdp[c],dgdp[c],cobalt2[e],dgdp[c],cobalt2[e],cobalt2[e],dgdp[c],orn[c],cobalt2[e],dump[c]
15,glyasn[c],glyasn[c],orn[c],prl45tcaglc[c],orn[c],mlthf[c],glyasn[c],dtbt[c],dtbt[c],cobalt2[e]
16,cobalt2[e],ocmhmxbq[c],ipdp[c],glyasn[c],dtbt[c],ipdp[c],cobalt2[e],ipdp[c],ipdp[c],mlthf[c]
17,mlthf[c],cobalt2[e],trdrd[c],cobalt2[e],ipdp[c],trdrd[c],dtbt[c],trdrd[c],trdrd[c],dtbt[c]
18,ipdp[c],mlthf[c],q8[c],mlthf[c],trdrd[c],gggagicolipa[c],ipdp[c],gggagicolipa[c],gggagicolipa[c],ipdp[c]
19,trdrd[c],5forthf[c],cgly[c],dtbt[c],udpgal[c],q8[c],trdrd[c],q8[c],q8[c],trdrd[c]
