,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,gua[c],gua[c],gua[c],gua[c],gua[c],gua[c],gua[c],gua[c],gua[c],h2[c]
1,h2[c],u3hga[c],itp[c],e4p[c],stys[c],u3hga[c],h2[c],h2[c],h2[c],ru5p_D[c]
2,2ahbut[c],itp[c],3ohdcoa[c],itp[c],2ahbut[c],itp[c],ru5p_D[c],ru5p_D[c],ru5p_D[c],2ahbut[c]
3,acgam6p[c],2pg[c],acgam6p[c],pi[e],itp[c],pi[e],2ahbut[c],pre3b[c],2ahbut[c],4hpro_LT[e]
4,g6p[c],pyr[c],g6p[c],g6p[c],pi[e],acgam6p[c],cspg_c[e],2ahbut[c],acgam6p[c],acgam6p[c]
5,gam6p[c],g6p[c],gam6p[c],2p4c2me[c],g6p[c],g6p[c],pi[e],hspg_degr_7[e],g6p[c],gagicolipa[c]
6,i17tcaacgam[c],4ampm[c],2p4c2me[c],4ampm[c],gam6p[c],etoh[e],acgam6p[c],cspg_c[e],gagicolipa[c],udcpp[c]
7,adhlam[c],2oph[c],Largn[c],2oph[c],ru5p_L[c],udcpp[c],cbasp[c],acgam6p[c],adhlam[c],dcyt[c]
8,2agpg120[c],2omph[c],cdpdipdecg[c],cbasp[c],Largn[c],drib[c],gagicolipa[c],g6p[c],alpro[c],ump[c]
9,udcpp[c],cbasp[c],2agpg120[c],2omph[c],acglu[c],lac_L[c],alpro[c],no2[e],udcpp[c],h2o2[c]
10,drib[c],clpn160[c],udcpp[c],clpn160[c],udcpp[c],acgam1p[c],udcpp[c],dscl[c],ump[c],orn[c]
11,lac_L[c],dmphqno[c],drib[c],cdpdipdecg[c],drib[c],h2o2[c],acgal6p[c],gagicolipa[c],dump[c],5forthf[c]
12,ai17tcaacgam[c],udcpp[c],lac_L[c],2agpg120[c],dump[c],dump[c],ump[c],alpro[c],h2o2[c],dmlarg[c]
13,acgam1p[c],thm[e],acgam1p[c],pgpi14[c],acgam1p[c],orn[c],dump[c],malcoa[c],orn[c],appl[c]
14,6pgl[c],drib[c],h2o2[c],dump[c],h2o2[c],5fthf[c],acgam1p[c],dmphqno[c],5mta[c],g1p[c]
15,h2o2[c],dump[c],dump[c],4mhetz[c],appl[c],glyclt[c],h2o2[c],acglu[c],appl[c],lpro[c]
16,dump[c],3psme[c],mlthf[c],rnam[c],lcts[c],appl[c],5mta[c],udcpp[c],pmACP[c],pppg9[c]
17,5fthf[c],acgam1p[c],nmn[e],h2o2[c],pep[c],dmso[c],cspg_a[e],acgal6p[c],rdmbzi[c],rdmbzi[c]
18,5mta[c],lanost[c],icit[c],orn[c],fald[c],dhf[c],g1p[c],ump[c],2aobut[c],amopbut_L[c]
19,1agpe120[c],rib_D[c],5mta[c],prfp[c],rib_D[c],uGgla[c],pmACP[c],dump[c],alac_S[c],alac_S[c]
20,pep[c],lpro[c],1agpe120[c],icit[c],2ddglcn[c],rdmbzi[c],amopbut_L[c],cspg_a[e],thymd[c],thymd[c]
21,rib_D[c],uGgla[c],cdpdhdecg[c],2agpg160[c],uGgla[c],prpp[c],alac_S[c],appl[c],prpp[c],mql8[c]
22,dhf[c],2aobut[c],pep[c],5mta[c],rdmbzi[c],mql8[c],adn[e],copre2[c],dad_2[c],phphhlipa[c]
23,uGgla[c],adn[e],rib_D[c],2agpg161[c],alac_S[c],csn[c],thymd[c],codhpre6[c],phphhlipa[c],chor[c]
24,alac_S[c],thymd[c],uGgla[c],cdpdhdecg[c],prpp[c],udpacgal[c],prpp[c],pre6b[c],fdxox[c],ura[c]
25,prpp[c],adocbi[c],thymd[c],pep[c],csn[c],phphhlipa[c],dad_2[c],rdmbzi[c],chor[c],succ[e]
26,dad_2[c],prpp[c],prpp[c],fdp[c],udpacgal[c],chor[c],mmcoa_R[c],amopbut_L[c],succ[e],pydam[e]
27,udpacgal[c],dad_2[c],dad_2[c],2agpg141[c],n6all26d[c],ura[c],uacmam[c],alac_S[c],glycogen[c],cytd[e]
28,sl26da[c],2dmmq7[c],mql8[c],xu5p_D[c],chor[c],succ[e],udpacgal[c],thymd[c],cytd[e],pran[c]
29,chor[c],udpacgal[c],csn[c],acamoxm[c],ura[c],glycogen[c],octdp[c],copre5[c],pran[c],g3p[c]
30,ura[c],phphhlipa[c],udpacgal[c],lpam[c],s7p[c],cit[c],phphhlipa[c],prpp[c],cit[c],3pg[c]
31,s7p[c],clpni14[c],n6all26d[c],h2mb4p[c],glycogen[c],g3p[c],fdxox[c],mql8[c],hxan[c],aspsa[c]
32,succ[e],fdxox[c],cdpdtdecg[c],uGgla[c],adprib[c],hxan[c],chor[c],phphhlipa[c],hco3[c],5aizc[c]
33,glycogen[c],chor[c],ura[c],1agpg181[c],pran[c],aspsa[c],pydam[e],chor[c],aspsa[c],pydxn[e]
34,adprib[c],ura[c],s7p[c],dhlam[c],hxan[c],3pg[c],cytd[e],succ[e],5aizc[c],lac_D[c]
35,pran[c],s7p[c],succ[e],Ssq23epx[c],aspsa[c],5aizc[c],pran[c],glycogen[c],gmhep1p[c],gmhep1p[c]
36,no3[e],1tdecg3p[c],adprib[c],thymd[c],3pg[c],gmhep1p[c],peptmetox_L[c],pydam[e],ac[e],ac[e]
37,peptmetox_L[c],4izp[c],peptmetox_L[c],adocbi[c],25aics[c],ac[e],g3p[c],cytd[e],cmp[c],cmp[c]
38,hxan[c],succ[e],2agpe120[c],prpp[c],g6p_B[c],r1p[c],hxan[c],pran[c],33hmeoxobut[c],33hmeoxobut[c]
39,2agpe120[c],glycogen[c],3pg[c],dad_2[c],4per[c],ahcys[c],hco3[c],peptmetox_L[c],acorn[c],ahcys[c]
40,3pg[c],cytd[e],aspsa[c],2dmmq7[c],mnl1p[c],acorn[c],aspsa[c],g3p[c],dtdp4d6dm[c],acorn[c]
41,grdp[c],peptmetox_L[c],5aizc[c],glyc_R[c],33hmeoxobut[c],dtdp4d6dm[c],5aizc[c],hxan[c],3c2hmp[c],dtdp4d6dm[c]
42,actn_R[c],pa180[c],g6p_B[c],clpni14[c],dcamp[c],3c2hmp[c],pydxn[e],copre3[c],dhor_S[c],3c2hmp[c]
43,aspsa[c],nicrnt[c],cdpdddecg[c],n6all26d[c],r1p[c],10fthf[c],lac_D[c],aspsa[c],uri[e],dhor_S[c]
44,5aizc[c],acac[c],dutp[c],unaga[c],ahcys[c],micit[c],cspg_b[e],5aizc[c],thf[c],uri[e]
45,i14tcaacgam[c],hxan[c],4per[c],chor[c],xylu_D[c],2ippm[c],gmhep1p[c],pydxn[e],2ippm[c],10fthf[c]
46,g6p_B[c],3pg[c],mnl1p[c],ura[c],f1p[c],gar[c],ac[e],2ombz[c],phyldpp[c],2ippm[c]
47,4per[c],aspsa[c],cdpdihdecg[c],cdpdtdecg[c],psd5p[c],thdp[c],33hmeoxobut[c],lac_D[c],5aprbu[c],hmbil[c]
48,ac[e],5aizc[c],cdpdodecg[c],pgp160[c],s17bp[c],dmpp[c],r1p[c],cspg_b[e],methf[c],5aprbu[c]
49,33hmeoxobut[c],fdxrd[c],ac[e],2dr5p[c],3c2hmp[c],2dr1p[c],acorn[c],gmhep1p[c],thdp[c],gar[c]
50,cmp[c],g6p_B[c],r1p[c],13dpg[c],acg5sa[c],fprica[c],dtdp4d6dm[c],hspg_degr_1[e],dmpp[c],thdp[c]
51,r1p[c],dutp[c],xylu_D[c],thymd[e],fru[c],succoa[c],3c2hmp[c],ac[e],acACP[c],dmpp[c]
52,acorn[c],4per[c],f1p[c],pgp140[c],melib[c],agdpcbi[c],acmana[c],33hmeoxobut[c],oaa[c],8aonn[c]
53,sttcaacgam[c],gmhep1p[c],psd5p[c],pa180[c],thf[c],mal_L[e],uri[e],dtdp4d6dm[c],fprica[c],2dr1p[c]
54,xylu_D[c],ac[e],s17bp[c],nicrnt[c],2ippm[c],glu5p[c],thf[c],3c2hmp[c],succoa[c],oaa[c]
55,psd5p[c],kdo8p[c],2ddecg3p[c],4hdxbutn[c],5aprbu[c],gal[c],2ippm[c],acg5sa[c],acmalt[c],fprica[c]
