,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,glyc45tca[c],sucr[c],pgi15[c],myrsACP[c],glyc45tca[c],glyc45tca[c],acgal[e],acgal[e],u3hga[c],gua[c]
1,glyc45tcaglc[c],gam6p[c],din[c],12dixdglyc[c],glyc45tcaglc[c],glyc45tcaglc[c],u3hga[c],u3hga[c],sucr[c],u3hga[c]
2,4abz[c],malACP[c],raffin[e],1ihdecg3p[c],arbt[e],ru5p_D[c],lcts[e],sucr[c],e4p[c],lcts[e]
3,sucbz[c],ins[e],etoh[e],3btcoa[c],pgi15[c],gam6p[c],2pg[c],lcts[e],lcts[e],gam6p[c]
4,glc_D[e],skm[c],3mob[c],pant_R[c],mqn8[c],ru5p_L[c],gam6p[c],2pg[c],2pg[c],raffin[e]
5,dcyt[c],mmcoa_S[c],1ihdecg3p[c],3c4mop[c],etoh[e],glc_D[e],raffin[e],gam6p[c],gam6p[c],acon_C[c]
6,sucr[e],btcoa[c],pant_R[c],ihdcoa[c],cbasp[c],dcyt[c],acon_C[c],na1[c],na1[c],ru5p_L[c]
7,ncam[c],lcts[c],dcyt[c],acglu[c],pram[c],prfp[c],ins[e],raffin[e],raffin[e],adhlam[c]
8,pai14[c],14mpentdecACP[c],ihpdcoa[c],12dgr161[c],adhlam[c],btcoa[c],sucbz[c],acon_C[c],fgam[c],drib[c]
9,thymd[c],ttdca[c],5fthf[c],sbt_D[e],cellb[e],5mta[c],pram[c],ins[e],ins[e],6pgl[c]
10,uamag[c],ncam[c],lcts[c],sucr[e],kestopt[e],gmhep7p[c],ru5p_L[c],pram[c],sucbz[c],prfp[c]
11,xan[e],15mpalmACP[c],ncam[c],lanost[e],gcald[c],applp[c],adhlam[c],ru5p_L[c],pram[c],mmcoa_S[c]
12,pai16[c],amopbut_L[c],dhf[c],lcts[c],dcyt[c],ncam[c],2mmale[c],56dura[c],glc_D[e],core2[e]
13,nmn[c],uamag[c],aihpdcoa[c],1hdec9eg3p[c],sucr[e],cbl1[c],drib[c],adhlam[c],dcyt[c],icit[c]
14,pa181[c],phhlipa[c],uamag[c],fald[c],5mta[c],rib_D[c],dcyt[c],forglu[c],rnam[c],5mta[c]
15,nac[c],nac[c],xan[e],15mpalmACP[c],applp[c],copre6[c],6pgl[c],arabinan101[e],mmcoa_S[c],gmhep7p[c]
16,acgam[e],stcoa[c],1aihpdecg3p[c],uamag[c],q8[c],2ddglcn[c],prfp[c],galmannan[e],prfp[c],applp[c]
17,cytd[e],fa12[c],itdcoa[c],1odec11eg3p[c],ncam[c],2aobut[c],core2[e],glc_D[e],core2[e],dgsn[e]
18,pa141[c],malthx[c],malt[e],hdeACP[c],cbl1[c],uamag[c],icit[c],drib[c],2obut[e],fald[c]
19,pa120[c],toctd2eACP[c],nac[c],itdcoa[c],copre6[c],xan[e],gmhep7p[c],dcyt[c],gmhep7p[c],hpyr[c]
20,pa180[c],din[e],glycogen[c],malt[e],2aobut[c],kdolipid4[c],dgsn[e],rnam[c],fdp[c],cbl1[c]
21,nicrnt[c],dextrin[c],pg140[c],1ddecg3p[c],acbdma14gapuc[c],acg5p[c],ncam[c],mmcoa_S[c],applp[c],rib_D[c]
22,malthx[c],fa6[c],hxan[c],1tdecg3p[c],uamag[c],nmn[c],rib_D[c],prfp[c],dgsn[e],copre6[c]
23,pai15[c],4c2me[c],malthx[c],12dgr160[c],xan[e],s7p[c],2ddglcn[c],core2[e],cbl1[c],2ddglcn[c]
24,2ahhmd[c],gsn[e],pgai17[c],man[e],dhpt[c],phhlipa[c],icolipa[c],icit[c],rib_D[c],icolipa[c]
25,2mpdhl[c],butpi[c],1ihpdecg3p[c],rib_D[e],malt[e],nac[c],thmmp[c],xyluglc[e],pai14[c],2aobut[c]
26,core8[e],fa11[c],glyc[e],salcn[e],nmn[c],adprib[c],uamag[c],2obut[e],icolipa[c],uamag[c]
27,cellb[c],isomal[c],ficytC[c],xyl_D[c],nac[c],nicrnt[c],xan[e],gmhep7p[c],uamag[c],xan[e]
28,dutp[c],ddcaACP[c],melib[c],man1p[c],succ[e],malthx[c],kdolipid4[c],applp[c],xan[e],glc_D[c]
29,pa160[c],lipidAds[c],skm5p[c],man[c],acgam[e],fdxrd[c],dhpt[c],dgsn[e],pai16[c],acg5p[c]
30,glyc45tcaala_D[c],iasp[c],g3pc[c],skm5p[c],cdpglyc[c],cellb[c],glc_D[c],cbl1[c],dhpt[c],s7p[c]
31,dextrin[c],malt[c],ala_B[c],ala_B[c],nicrnt[c],4per[c],acg5p[c],rib_D[c],malt[e],phhlipa[c]
32,idp[c],4hbz[c],5aop[c],1itdecg3p[c],acac[c],kdo8p[c],ura[e],2ddglcn[c],acg5p[c],4izp[c]
33,ficytC[c],duri[e],25dhpp[c],12daipdglyc[c],pg140[c],tre[c],nmn[c],icolipa[c],ura[e],adprib[c]
34,skm5p[c],malttr[c],10fthf[c],1ipdecg3p[c],malthx[c],glyc45tcaala_D[c],s7p[c],2aobut[c],s7p[c],acgam[e]
35,paai17[c],malthp[c],1itdecg3p[c],1tdec7eg3p[c],salcn[e],xylu_D[c],phhlipa[c],uamag[c],phhlipa[c],f1a[e]
36,acmana[c],pmtcoa[c],1ipdecg3p[c],aipdcoa[c],3hbcoa[c],f1p[c],nac[c],dad_2[c],pa181[c],nicrnt[c]
37,4c2me[c],26dap_M[c],gar[c],xu5p_L[c],pgai17[c],s17bp[c],adprib[c],kdolipid4[c],adprib[c],gal1b3acgal[e]
38,glyc[c],maltttr[c],aipdcoa[c],nac[e],kestottr[e],fru[c],acgam[e],dhpt[c],acgam[e],hxan[c]
39,pa161[c],maltpt[c],udpg[c],12ditdglyc[c],glyc45tcaala_D[c],ficytC[c],arabinogal[e],s7p[c],pa141[c],mantr[e]
40,paai15[c],btn_co2[c],pg180[c],tdeACP[c],kesto[e],skm5p[c],f1a[e],phhlipa[c],pa120[c],3omrsACP[c]
41,isomal[c],14mpalmACP[c],chol[e],ddcaACP[c],glyc[e],acmana[c],melib[e],acgam[e],f1a[e],g6p_B[c]
42,madg[c],pnto_R[c],pgai15[c],1hdecg3p[c],glx[c],4c2me[c],nicrnt[c],arabinogal[e],g3p[c],core8[e]
