,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
67,mal_L[c],fol[e],so3[c],ppgpp[c],so3[c],glypro[e],pydxn[c],air[c],,
68,ala_D[e],cdpdaihpdecg[c],,23dhmp[c],,26dap_LL[c],ade[c],2cpr5p[c],,
69,4hpro_LT[c],uagmda[c],,mal_L[c],,26dap_M[e],o2s[c],pydxn[c],,
70,sttca1[c],dmpp[c],,dtmp[c],,alathr[e],gal1p[c],o2s[c],,
71,dtmp[c],ppgpp[c],,dcmp[c],,so3[c],succitr_L[c],gal1p[c],,
72,dcmp[c],mal_L[c],,glu5sa[c],,,2dmmql8[c],succ[c],,
73,glu5sa[c],dtmp[c],,gthox[e],,,26dap_LL[c],cdp[c],,
74,ai15tca1[c],HC01651[c],,pgai15[c],,,peptmet_L[c],26dap_LL[c],,
75,23dhmb[c],dcmp[c],,23dhmb[c],,,adn[c],peptmet_L[c],,
76,gmp[c],glu5sa[c],,pg160[c],,,so3[c],so3[c],,
77,o2[e],gthox[e],,gmp[c],,,2dmmq8[c],,,
78,damp[c],pgai15[c],,2ombzl[c],,,,,,
79,hom_L[c],pg160[c],,g3pg[c],,,,,,
80,imp[c],gmp[c],,2omhmbl[c],,,,,,
81,alagln[e],o2[e],,damp[c],,,,,,
82,2cpr5p[c],2ombzl[c],,hom_L[c],,,,,,
83,ade[c],gicolipa[c],,imp[c],,,,,,
84,glycys[e],2omhmbl[c],,air[c],,,,,,
85,glyasn[e],damp[c],,ade[c],,,,,,
86,gal1p[c],hom_L[c],,dhna[c],,,,,,
87,cgly[e],imp[c],,for[e],,,,,,
88,succ[c],o2s[c],,pgi14[c],,,,,,
89,glyleu[e],dhna[c],,2mahmp[c],,,,,,
90,glypro[e],glyc3p[c],,pgi16[c],,,,,,
91,cdp[c],succ[c],,26dap_LL[c],,,,,,
92,26dap_LL[c],pgi14[c],,so3[c],,,,,,
93,glygln[e],ara5p[c],,uaccg[c],,,,,,
94,peptmet_L[c],pgi16[c],,,,,,,,
95,adn[c],2mahmp[c],,,,,,,,
96,so3[c],peptmet_L[c],,,,,,,,
97,2dmmq8[c],adn[c],,,,,,,,
98,,so3[c],,,,,,,,
