,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,ins[c],myrsACP[c],ins[c],ru5p_D[c],5prdmbz[c],5prdmbz[c],ins[c],5prdmbz[c],5prdmbz[c],dcyt[e]
1,sucr[c],ins[c],sucr[c],ins[c],ins[c],ins[c],stys[c],ins[c],ins[c],5prdmbz[c]
2,itp[c],din[c],mqn8[c],din[c],3php[c],csn[e],e4p[c],stys[c],stys[c],pre3b[c]
3,din[c],2p4c2me[c],2pg[c],l2a6o[c],pre3b[c],pre3b[c],itp[c],e4p[c],itp[c],stys[c]
4,l2a6o[c],kdo2lipid4[c],glyald[c],prbamp[c],sucr[c],e4p[c],din[c],itp[c],din[c],e4p[c]
5,2pg[c],ihdcoa[c],acon_C[c],2pg[c],din[c],din[c],g6p[c],din[c],acon_C[c],itp[c]
6,lald_L[c],dtdp4d6dg[c],cbasp[c],gam6p[c],sbt_D[c],l2a6o[c],kdo2lipid4[c],kdo2lipid4[c],2p4c2me[c],din[c]
7,glyald[c],rnam[c],glc_D[e],acon_C[c],6pgg[c],2pg[c],2p4c2me[c],2p4c2me[c],cbasp[c],2pg[c]
8,cytd[c],ihpdcoa[c],3psme[c],fgam[c],2pg[c],2p4c2me[c],fgam[c],cbasp[c],kdo2lipid4[c],g6p[c]
9,2p4c2me[c],etoh[c],rnam[c],ru5p_L[c],acgam6p[c],dscl[c],acglu[c],fgam[c],cdpdipdecg[c],2p4c2me[c]
10,cbasp[c],lanost[e],sbt_D[e],glc_D[e],glyald[c],kdo2lipid4[c],dtdp4d6dg[c],dtdp4d6dg[c],acglu[c],dscl[c]
11,pram[c],gmhep7p[c],etoh[c],ppaca[c],raffin[e],pram[c],6pgc[c],6pgc[c],dtdp4d6dg[c],kdo2lipid4[c]
12,cdpdipdecg[c],dudp[c],dudp[c],3psme[c],dscl[c],acglu[c],3psme[c],3psme[c],3psme[c],cbasp[c]
13,prl45tcaglc[c],duri[c],g1p[c],ihpdcoa[c],2p4c2me[c],prl45tcaglc[c],rnam[c],6pgl[c],5fthf[c],fgam[c]
14,3psme[c],dgsn[e],duri[c],etoh[c],56dura[c],dtdp4d6dg[c],orn[c],5fthf[c],icit[c],pram[c]
15,rnam[c],urcan[c],pai14[c],hxan[e],glc_D[e],3psme[c],mmcoa_S[c],pppi[c],pppi[c],malcoa[c]
16,orn[c],ugmd[c],5mthf[c],dudp[c],prl45tcaglc[c],rnam[c],5fthf[c],5forthf[c],hxan[e],forglu[c]
17,etoh[c],aihpdcoa[c],adn[e],duri[c],np2msucccoa[c],pppi[c],2obut[e],dudp[c],dudp[c],dmphqno[c]
18,pppi[c],mmcoa_R[c],ugmd[c],lanost[c],d5kg[c],hxan[e],dudp[c],lcts[c],lcts[c],acglu[c]
19,ptrc[c],alaala[c],alaala[c],rib_D[c],ppaca[c],dudp[c],tre6p[c],duri[c],gua[e],dtdp4d6dg[c]
20,hxan[e],kdolipid4[c],glyc_R[c],pai14[c],sbt_D[e],copre2[c],lcts[c],fdp[c],duri[c],6pgc[c]
21,dudp[c],gmhep17bp[c],pai16[c],ugmd[c],3psme[c],pep[c],duri[c],pep[c],cdpdhdecg[c],3psme[c]
22,lcts[c],1aihpdecg3p[c],gsn[c],aihpdcoa[c],rnam[c],duri[c],pep[c],pmACP[c],pep[c],pppi[c]
23,duri[c],gsn[c],glc_D[c],alaala[c],etoh[c],fdp[c],fdp[c],xu5p_D[c],xu5p_D[c],tre6p[c]
24,cdpdhdecg[c],glc_D[c],ura[e],sarcs[c],5fthf[c],xu5p_D[c],xu5p_D[c],amob[c],lpro[c],copre2[c]
25,sl2a6o[c],thymd[e],pa181[c],1aihpdecg3p[c],pppi[c],codhpre6[c],lpro[c],copre6[c],dhf[c],lcts[c]
26,lpam[c],but[c],pa141[c],pai16[c],glyclt[c],ugmd[c],dhf[c],lpro[c],lpam[c],pep[c]
27,dhlam[c],hco3[c],cit[c],gsn[c],hxan[e],dad_2[c],uGgla[c],dhf[c],uGgla[c],fdp[c]
28,ugmd[c],lipidA[c],pa120[c],glc_D[c],dudp[c],adcobdam[c],tagdp_D[c],uGgla[c],dhlam[c],pmACP[c]
29,alaala[c],hphhlipa[c],ppbng[c],acg5p[c],copre2[c],alaala[c],ugmd[c],tagdp_D[c],adn[e],xu5p_D[c]
30,glyc_R[c],quln[c],man[e],4hbutcoa[c],duri[c],glyc_R[c],alaala[c],adn[e],ugmd[c],amob[c]
31,gsn[c],3omrsACP[c],rib_D[e],s7p[c],galt1p[c],gmhep17bp[c],gmhep17bp[c],ugmd[c],mmcoa_R[c],codhpre6[c]
32,octdp[c],3ophb[c],pa180[c],pa181[c],dhf[c],gsn[c],gsn[c],mmcoa_R[c],adcobdam[c],uGgla[c]
33,dhpt[c],4adcho[c],focytC[c],nac[c],codhpre6[c],2ddg6p[c],2ddg6p[c],adcobdam[c],alaala[c],pre6b[c]
34,glc_D[c],phthr[c],hco3[c],adprib[c],ugmd[c],dhpt[c],ura[c],alaala[c],kdolipid4[c],ugmd[c]
35,ura[e],1ihpdecg3p[c],pai15[c],pa141[c],copre5[c],glc_D[c],pecticgal[e],gmhep17bp[c],gmhep17bp[c],prpp[c]
36,cdpdtdecg[c],idp[c],malt6p[c],cit[c],dad_2[c],ura[e],2dr5p[c],udpacgal[c],gsn[c],copre5[c]
37,rib_D[e],1odecg3p[c],o2[c],stcoa[c],adcobdam[c],fdxox[c],glycogen[c],gsn[c],octdp[c],dad_2[c]
38,focytC[c],dhlpro[c],lac_L[e],pa120[c],alaala[c],acgam[e],13dpg[c],2ddg6p[c],glc_D[c],mmcoa_R[c]
39,hco3[c],nicrns[c],pa160[c],eig3p[c],glyc_R[c],13dpg[c],cit[c],octdp[c],cdpdtdecg[c],adcobdam[c]
40,cdpdddecg[c],man1p[c],idp[c],hco3[c],sarcs[c],eig3p[c],udpglcur[c],glc_D[c],ura[c],alaala[c]
41,cdpdihdecg[c],ficytC[c],nicrns[c],quln[c],gsn[c],focytC[c],thymd[e],acg5p[c],orn[e],kdolipid4[c]
42,cdpdodecg[c],skm5p[c],3hhdcoa[c],pai15[c],glc_D[c],f6p[c],ppbng[c],fdxox[c],thymd[e],glyc_R[c]
43,lac_L[e],4ahmmp[c],man[c],actn_R[c],acg5p[c],copre3[c],eig3p[c],ura[c],eig3p[c],gmhep17bp[c]
44,xyl_D[c],kdo[c],paai17[c],malt6p[c],cit[c],hco3[c],f6p[c],pecticgal[e],f6p[c],octdp[c]
45,ichor[c],phyldpp[c],4c2me[c],dutp[c],eig3p[c],hphhlipa[c],hphhlipa[c],2dr5p[c],lipidA[c],2ddg6p[c]
46,nicrns[c],2dr1p[c],glyc[c],4per[c],melib[e],3omrsACP[c],fdxrd[c],13dpg[c],hphhlipa[c],fdxox[c]
47,cdpdihpdecg[c],4pasp[c],fru[e],mnl1p[c],man[e],g6p_B[c],dutp[c],cit[c],fdxrd[c],2dr5p[c]
48,fru[e],odecoa[c],pa161[c],3ophb[c],copre3[c],dutp[c],4per[c],thymd[e],g6p_B[c],glycogen[c]
49,cdpdaihpdecg[c],xtsn[c],thf[c],pa160[c],hco3[c],r5p[c],r5p[c],eig3p[c],cdpdddecg[c],13dpg[c]
50,cdpdodec11eg[c],glycogenb[c],paai15[c],phthr[c],mantr[e],o2[c],rbl_D[c],f6p[c],chor[e],cit[c]
51,2dr1p[c],palmACP[c],methf[c],1ihpdecg3p[c],actn_R[c],idp[c],ichor[c],hco3[c],dutp[c],thymd[e]
52,hethmpp[c],ocdcaACP[c],2dr1p[c],idp[c],5aizc[c],psd5p[c],pmACPm[c],hphhlipa[c],cdpdihdecg[c],ppbng[c]
53,4pasp[c],xan[c],4pasp[c],acorn[c],acon_T[c],nicrns[c],nicrns[c],fdxrd[c],r5p[c],eig3p[c]
54,gal[e],cbp[c],fprica[c],xylu_D[c],malt6p[c],acg5sa[c],acg5sa[c],g6p_B[c],cdpdodecg[c],f6p[c]
55,2obut[c],aacoa[c],xtsn[c],1odecg3p[c],core8[e],adocbip[c],u23ga[c],dutp[c],r1p[c],copre3[c]
56,cdpdhdec9eg[c],air[c],pai17[c],psd5p[c],dutp[c],dhap[c],melib[c],4per[c],ichor[c],hco3[c]
57,xtsn[c],ocdcea[e],drib[e],nicrns[c],o2[c],prlp[c],dhap[c],r5p[c],pmACPm[c],hphhlipa[c]
58,cdpdaipdecg[c],glc_bD[c],suc6p[c],s17bp[c],idp[c],kdo[c],10fthf[c],r1p[c],acg5sa[c],lipidA[c]
59,drib[e],tdcoa[c],xan[c],3c2hmp[c],nicrns[c],for[c],e3mmal[c],rbl_D[c],cdpdihpdecg[c],fdxrd[c]
60,fol[c],4ppan[c],5apru[c],fru[c],man[c],4pasp[c],prlp[c],u23ga[c],u23ga[c],2ombz[c]
61,h2[e],orot[c],chol[c],4c2me[c],stys[e],gal[e],kdo[c],adocbip[c],adocbip[c],4per[c]
62,suc6p[c],g1p_B[c],imp[c],fru[e],adocbip[c],xtsn[c],acgal[c],melib[c],melib[c],r5p[c]
63,ametam[c],gam1p[c],air[c],pa161[c],dhor_S[c],aact[c],gar[c],dhap[c],10fthf[c],rbl_D[c]
64,glycogenb[c],cdp[c],raffin[c],4ahmmp[c],10fthf[c],drib[e],lac_D[e],10fthf[c],prlp[c],ichor[c]
65,23dhdp[c],dad_2[e],acald[e],paai15[c],glyc[c],fol[c],mantr[c],prlp[c],kdo[c],psd5p[c]
66,xan[c],2me4p[c],glc_bD[c],sbt6p[c],fru[e],adpglc[c],hethmpp[c],kdo[c],na1[e],dhlpro[c]
67,acmanap[c],,pa140[c],2dr1p[c],gar[c],glycogenb[c],2dr1p[c],phyldpp[c],cdpdaihpdecg[c],acg5sa[c]
68,anth[c],,orot[c],4pasp[c],hethmpp[c],23dhdp[c],gal[e],na1[e],cdpdodec11eg[c],u23ga[c]
69,prl45tca[c],,g1p_B[c],xtsn[c],4pasp[c],xan[c],4pasp[c],hmbil[c],gar[c],adocbip[c]
70,sbzcoa[c],,gam1p[c],man6p[c],2obut[c],2pglyc[c],xtsn[c],acgal[c],mantr[c],melib[c]
71,air[c],,pnto_R[c],sucsal[c],xu5p_L[c],acmanap[c],apoC_Lys_btn[c],gar[c],hethmpp[c],dhap[c]
72,raffin[c],,26dap_LL[c],suc6p[c],xtsn[c],uppg3[c],h2[e],lac_D[e],2dr1p[c],prlp[c]
73,cdpditdecg[c],,mnl[e],gal[c],aact[c],prl45tca[c],homogal[e],mantr[c],4pasp[c],kdo[c]
74,cdpdtdec7eg[c],,dgsn[c],salc6p[c],gal1a3acgal[e],air[c],23dhdp[c],hethmpp[c],gal[e],lac_D[e]
75,4ppan[c],,,ocdcaACP[c],suc6p[c],ade[c],teich_45_BS[c],gal[e],2obut[c],mantr[c]
76,orot[c],,,23dhdp[c],h2o[e],o2s[c],thmpp[c],4pasp[c],cdpdhdec9eg[c],hethmpp[c]
77,prl45tcaala[c],,,xan[c],srbL1p[c],pre4[c],xan[c],2obut[c],cdpdaipdecg[c],for[c]
78,gam1p[c],,,2mecdp[c],arbt6p[c],prl45tcaala[c],gicolipa[c],scl[c],apoC_Lys_btn[c],gal[e]
79,fcl_L[c],,,pa140[c],adpglc[c],gam1p[c],5apru[c],aact[c],h2[e],4pasp[c]
80,acgam[c],,,ab6p3hxl[c],salc6p[c],acgam[c],acmanap[c],phyQ[c],suc6p[c],2obut[c]
81,dgsn[c],,,tartr_L[c],glycogenb[c],adn[c],anth[c],h2[e],glycogenb[c],aact[c]
82,,,,orot[c],23dhdp[c],mi1p_D[c],orot5p[c],suc6p[c],23dhdp[c],dma[c]
83,,,,pnto_R[c],xan[c],dgsn[c],sbzcoa[c],salc6p[c],malt[c],h2[e]
84,,,,12dgr180[e],5apru[c],2dmmq8[c],raffin[c],glycogenb[c],xan[c],23dhdp[c]
85,,,,dha[c],anth[c],,acnam[c],23dhdp[c],gicolipa[c],xan[c]
86,,,,dgsn[c],uppg3[c],,3hmrsACP[c],xan[c],5apru[c],gicolipa[c]
87,,,,,prl45tca[c],,ara5p[c],gicolipa[c],anth[c],5apru[c]
88,,,,,aacoa[c],,gam1p[c],5apru[c],orot5p[c],anth[c]
89,,,,,ade[c],,cdpglc[c],anth[c],sbzcoa[c],orot5p[c]
90,,,,,o2s[c],,acgam[c],orot5p[c],raffin[c],ade[c]
91,,,,,acald[e],,dad_2[e],cbp[c],cdpditdecg[c],raffin[c]
92,,,,,copre4[c],,dgsn[c],pre6a[c],cdpdtdec7eg[c],pmcoa[c]
93,,,,,glc_bD[c],,,ade[c],3hmrsACP[c],dhna[c]
94,,,,,pre4[c],,,raffin[c],4ppan[c],copre4[c]
95,,,,,succ[c],,,pmcoa[c],ara5p[c],pre4[c]
96,,,,,tartr_L[c],,,dhna[c],acgam[c],3hmrsACP[c]
97,,,,,orot[c],,,sucorn[c],cdp[c],4ppan[c]
98,,,,,prl45tcaala[c],,,3hmrsACP[c],fpram[c],ara5p[c]
99,,,,,g1p_B[c],,,ara5p[c],dad_2[e],cdpglc[c]
100,,,,,gam1p[c],,,btn_co2[c],mi1p_D[c],acgam[c]
101,,,,,adn[c],,,acgam[c],dgsn[c],dgsn[c]
102,,,,,mnl[e],,,mi1p_D[c],,
103,,,,,aicar[c],,,dgsn[c],,
104,,,,,dgsn[c],,,,,
