,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,glu_D[c],glu_D[c],glu_D[c],glu_D[c],glu_D[c],glu_D[c],glu_D[c],glu_D[c],glu_D[c],glu_D[c]
1,pgi15[c],15mtpalm2eACP[c],lcts[e],12mtridecACP[c],agam1b3agal[e],rbl_L[c],rbl_L[c],rbl_L[c],dcyt[e],rbl_L[c]
2,fgam[c],3hpalmACP[c],fgam[c],ddca[c],palmtca1[c],myrsACP[c],dcyt[e],dcyt[e],myrsACP[c],ins[c]
3,skm[c],ttdca[e],pram[c],15mtpalm2eACP[c],4abz[c],3ohcoa[c],3php[c],3php[c],agam1b3agal[e],agam1b3agal[e]
4,1ihdecg3p[c],hdca[c],clpn160[c],lcts[e],i16tca1[c],prbamp[c],agam1b3agal[e],agam1b3agal[e],prbamp[c],sucr[c]
5,pant_R[c],3hoctaACP[c],pgpi14[c],3ohdcoa[c],skm[c],glyald[c],sucr[c],prbamp[c],12dixdglyc[c],prbamp[c]
6,ihdcoa[c],fgam[c],2agpg160[c],skm[c],gncore2[e],fgam[c],prbamp[c],4abz[c],pi[e],sbt_D[c]
7,fuc_L[e],4hbz[e],2dhp[c],4hbz[e],clpn160[c],skm[c],4abz[c],pi[e],4abz[c],lald_L[c]
8,ihpdcoa[c],pant_R[c],hxan[e],succ[e],thrp[c],thrp[c],lald_L[c],lald_L[c],skm[c],glyald[c]
9,nmn[e],ala_B[c],2agpg161[c],13mmyrsACP[c],i14tca1[c],cellb[e],glyald[c],glyald[c],lipidX[c],skm[c]
10,thym[c],malcoa[c],clpn180[c],12mmyrsACP[c],2agpg120[c],nmn[e],g3pe[c],g3pe[c],gncore2[e],lipidX[c]
11,2shchc[c],pnto_R[e],udpgal[c],uama[c],ai17tca1[c],malt[e],skm[c],skm[c],1ihdecg3p[c],sucbz[c]
12,malthx[e],tddec2eACP[c],2agpg141[c],14mtpalm2eACP[c],2mnptl[c],meoh[c],gncore2[e],gncore2[e],pant_R[c],gncore2[e]
13,aihpdcoa[c],dextrin[e],1agpg181[c],2dhp[c],prfp[c],ppbng[c],rml[c],thrp[c],thrp[c],g3pe[c]
14,thmmp[c],hhlipa[c],dhpt[c],14mpentdecACP[c],core2[e],rib_D[e],glc_D[e],inulin[e],ihdcoa[c],pant_R[c]
15,ivcoa[c],uama[c],clpni14[c],xyl_D[e],2agpg160[c],uama[c],mana[c],cellb[e],cellb[e],thrp[c]
16,1aihpdecg3p[c],14mtpalm2eACP[c],pgp160[c],b2coa[c],2agpg161[c],chtbs[e],ppaca[c],rml[c],12dgr161[c],rml[c]
17,itdcoa[c],nac[e],udpglcur[c],4abut[e],clpn180[c],lipidA[c],2shchc[c],kestopt[e],ihpdcoa[c],glc_D[e]
18,malt[e],3dhsk[c],pgp140[c],4abutn[c],2agpg141[c],ddca[c],acgalglcur[e],2mmale[c],sucr[e],mana[c]
19,meoh[c],b2coa[c],uama[c],,lpam[c],rbl_D[c],fald[c],mana[c],2shchc[c],ppaca[c]
20,stcoa[c],ocdca[c],pgp180[c],,1agpg181[c],adocbl[c],2mmal[c],ppaca[c],1hdec9eg3p[c],etoh[c]
21,uama[c],26dap_LL[c],1agpg141[c],,dhlam[c],man1p[c],lpam[c],etoh[c],fald[c],urcan[c]
22,pg140[c],apoC_Lys_btn[c],1agpg161[c],,clpni14[c],man[c],dhlam[c],sucr[e],ncam[c],lpam[c]
23,HC01435[c],26dap_M[e],1agpg140[c],,gcald[e],glyc[c],glyc_R[c],acgalglcur[e],aihpdcoa[c],dhlam[c]
24,pgai17[c],,for[c],,core4[e],fru[e],gncore1[e],fald[c],thmmp[c],adn[e]
25,1ihpdecg3p[c],,nac[e],,ppbng[c],co2dam[c],gncore1_rl[e],glygn2[e],1odec11eg3p[c],thmmp[c]
26,ibcoa[c],,clpni17[c],,uama[c],hhlipa[c],ha_pre1[e],ncam[c],1aihpdecg3p[c],gsn[c]
27,glyc[e],,dxyl5p[c],,4hdxbutn[c],xu5p_L[c],dsT_antigen_rl[e],lpam[c],hdeACP[c],meoh[c]
28,ala_B[c],,1agpg160[c],,quln[c],nac[e],core4[e],dhlam[c],itdcoa[c],gncore1[e]
29,1itdecg3p[c],,pgpi17[c],,2ahhmd[c],butpi[c],rib_D[e],thmmp[c],2ddg6p[c],gncore1_rl[e]
30,1ipdecg3p[c],,fol[c],,3hbcoa_R[c],altrn[c],uama[c],bglc[e],nmn[c],nac[c]
31,dhnpt[c],,1agpg180[c],,2ins[c],cbl2[c],galam6p[c],glyc_R[c],1ddecg3p[c],core4[e]
32,aipdcoa[c],,clpnai15[c],,i17tca1[c],tre[e],chtbs[e],malt[e],1tdecg3p[c],rib_D[e]
33,nac[e],,clpni15[c],,i15tca1[c],cbl1[e],lipidA[c],nmn[c],meoh[c],uama[c]
34,pg180[c],,gal[c],,thm[c],acnam[c],malthx[c],meoh[c],gncore1[e],chtbs[e]
35,2mbcoa[c],,adpglc[c],,1agpg141[c],ara5p[c],quln[c],gncore1[e],gncore1_rl[e],quln[c]
36,pgai15[c],,pgpi15[c],,adocbl[c],glcn[c],2ahhmd[c],4izp[c],nac[c],malthx[c]
37,pg160[c],,23dhmb[c],,1agpg161[c],b2coa[c],salcn[e],gncore1_rl[e],2dr5p[c],actn_R[c]
38,g3pg[c],,glycogenb[c],,core6[e],2me4p[c],actn_R[c],ha_pre1[e],13dpg[c],cellb[c]
39,ipdcoa[c],,pgpai15[c],,co2dam[c],,4mpetz[c],nac[c],core4[e],xyl_D[c]
40,pmtcoa[c],,clpni16[c],,dhnpt[c],,cellb[c],core4[e],stcoa[c],tre[c]
41,dextrin[e],,clpnai17[c],,6hmhptpp[c],,sTn_antigen[e],levanb[c],12dgr160[c],r1p[c]
42,glc_bD[c],,pgpai17[c],,myrstca1[c],,xyl_D[c],lichn[e],uama[c],thm[c]
43,tdcoa[c],,clpn140[c],,1agpg140[c],,tre[c],rib_D[e],chtbs[e],adocbl[c]
44,1aipdecg3p[c],,pgpi16[c],,core4_rl[e],,3hpACPm[c],uama[c],3pg[c],man1p[c]
45,acnam[c],,2agpg140[c],,nac[e],,man1p[c],galam6p[c],quln[c],man[c]
46,pgi17[c],,2agpg180[c],,clpni17[c],,man[c],chtbs[e],2ahhmd[c],core6[e]
47,malttr[e],,2agpg181[c],,1agpg160[c],,core6[e],lipidA[c],4per[c],sT_antigen_rl[e]
48,pgi14[c],,glu1sa[c],,agam1b6agal[e],,sT_antigen_rl[e],quln[c],12daihdglyc[c],glx[c]
49,pgi16[c],,,,sttca1[c],,g3pc[c],2ahhmd[c],1ihpdecg3p[c],g3pc[c]
50,,,,,1agpg180[c],,acnam2a6agal[e],actn_R[c],thm[c],ala_B[c]
51,,,,,gncore2_rl[e],,sT_antigen[e],xyl_D[c],3hpACPm[c],sT_antigen[e]
52,,,,,HC01651[c],,fru[e],hspg_degr_14[e],ddca[c],co2dam[c]
53,,,,,clpnai15[c],,6hmhptpp[c],thm[c],1odecg3p[c],hhlipa[c]
54,,,,,ai15tca1[c],,hhlipa[c],amylose300[e],adocbl[c],xu5p_L[c]
55,,,,,clpni15[c],,acgalidour[e],adocbl[c],s17bp[c],core4_rl[e]
56,,,,,agal1b3agal[e],,xu5p_L[c],man1p[c],man1p[c],altrn[c]
57,,,,,chtbs[c],,core4_rl[e],lmn2[e],man[c],agam1b6agal[e]
58,,,,,core2_rl[e],,nac[e],man[c],core6[e],madg[c]
59,,,,,clpni16[c],,altrn[c],core6[e],sT_antigen_rl[e],drib[e]
60,,,,,clpnai17[c],,agam1b6agal[e],g3pc[c],ala_B[c],apoC_Lys_btn[c]
61,,,,,clpn140[c],,madg[c],5aop[c],dhap[c],ddcaACP[c]
62,,,,,1agpg120[c],,ddcaACP[c],fru[e],1itdecg3p[c],gncore2_rl[e]
63,,,,,2agpg140[c],,inulin[c],co2dam[c],12daipdglyc[c],agal1b3agal[e]
64,,,,,2agpg180[c],,gncore2_rl[e],6hmhptpp[c],1ipdecg3p[c],epACPm[c]
65,,,,,4h2oglt[c],,HC01651[c],hhlipa[c],sT_antigen[e],malt[c]
66,,,,,4abut[c],,gam[c],acgalidour[e],1tdec7eg3p[c],HC01434[c]
67,,,,,2agpg181[c],,agal1b3agal[e],xu5p_L[c],12dihdglyc[c],g3pg[c]
68,,,,,2ahhmp[c],,malt[c],core4_rl[e],fol[e],malttr[c]
69,,,,,for[e],,g3pg[c],altrn[c],tddec2eACP[c],mbdg[c]
70,,,,,core3[e],,HC01434[c],agam1b6agal[e],6hmhptpp[c],acald[e]
71,,,,,b2coa[c],,ha_deg1[e],acmalt[c],hhlipa[c],cbl1[e]
72,,,,,fpram[c],,malttr[c],ddcaACP[c],aipdcoa[c],maltttr[c]
73,,,,,2me4p[c],,mbdg[c],gncore2_rl[e],core4_rl[e],glc_bD[c]
74,,,,,2dmmq8[c],,core5[e],HC01651[c],12ditdglyc[c],acnam[c]
75,,,,,,,Tn_antigen[e],gam[c],tdeACP[c],maltpt[c]
76,,,,,,,dsT_antigen[e],agal1b3agal[e],agam1b6agal[e],core3[e]
77,,,,,,,maltttr[c],epACPm[c],gncore2_rl[e],g1p_B[c]
78,,,,,,,glc_bD[c],HC01434[c],HC01651[c],gam1p[c]
79,,,,,,,2ahhmp[c],ha_deg1[e],agal1b3agal[e],glu1sa[c]
80,,,,,,,for[e],g3pg[c],1hdecg3p[c],
81,,,,,,,maltpt[c],core5[e],palmACP[c],
82,,,,,,,core3[e],cbl1[e],ocdcaACP[c],
83,,,,,,,core7[e],2ahhmp[c],12dgr181[c],
84,,,,,,,g1p_B[c],for[e],12dipdglyc[c],
85,,,,,,,fcl_L[c],malttr[e],octeACP[c],
86,,,,,,,2mahmp[c],core3[e],ipdcoa[c],
87,,,,,,,glu1sa[c],gam1p[c],pmtcoa[c],
88,,,,,,,,glygn4[e],cbl1[e],
89,,,,,,,,fcl_L[c],tdcoa[c],
90,,,,,,,,dad_2[e],12dgr141[c],
91,,,,,,,,,1aipdecg3p[c],
92,,,,,,,,,2ahhmp[c],
93,,,,,,,,,acnam[c],
94,,,,,,,,,for[e],
95,,,,,,,,,core3[e],
96,,,,,,,,,gam1p[c],
97,,,,,,,,,12dgr180[c],
98,,,,,,,,,12dgr140[c],
99,,,,,,,,,2me4p[c],
100,,,,,,,,,12dgr120[c],
