,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
0,1agpe180[c],14m3opalmACP[c],trnaglu[c],13m3hmyrsACP[c],3ohcoa[c],pgpi15[c],rmn[e],rmn[e],hdca[e],e4hglu[c]
1,2agpe180[c],15m3opalmACP[c],hethmpp[c],fdxox[c],fdxox[c],1agpg141[c],ahdt[c],glutrna[c],15mtpalm2eACP[c],rmn[e]
2,2odecg3p[c],lipa[c],2ahbut[c],3ohcoa[c],copre8[c],pgpai15[c],meoh[e],pgai15[c],ahdt[c],pgai15[c]
3,2agpe160[c],3oddecACP[c],thmpp[c],aacoa[c],prbatp[c],1agpg161[c],glx[c],pgi15[c],3hpalmACP[c],pgi15[c]
4,sT_antigen_rl[e],,,14m3opalmACP[c],3dhq[c],3ohdcoa[c],lipidX[c],ahdt[c],13mtmrs2eACP[c],pg160[c]
5,2tdecg3p[c],,,12m3hmyrsACP[c],glu1sa[c],clpni16[c],4ahmmp[c],pg160[c],ttdca[e],2pglyc[c]
6,acnam2a6agal[e],,,15m3opalmACP[c],,clpnai17[c],ddca[e],hspg_degr_11[e],3hoctaACP[c],nmn[c]
7,sT_antigen[e],,,3dhq[c],,pgpai17[c],glcur[c],glx[c],glyald[c],4ampm[c]
8,dsT_antigen_rl[e],,,hdd2coa[c],,clpni14[c],fuc_L[e],lipidX[c],lald_L[c],acnam2a6agal[e]
9,1agpe140[c],,,,,clpn140[c],arab_L[e],levan1000[e],g3pg[c],abt[c]
10,2hdecg3p[c],,,,,1tdecg3p[c],trnaglu[c],4ampm[c],g3pe[c],ddca[e]
11,dsT_antigen[e],,,,,clpn160[c],gACPm[c],ddca[e],g3pc[c],gcald[c]
12,for[e],,,,,pgp160[c],3hddecACP[c],copre8[c],4ampm[c],glcur[c]
13,3dhq[c],,,,,aacoa[c],galur[c],glcur[c],2h3oppan[c],copre8[c]
14,1agpe160[c],,,,,pgpi16[c],3dhq[c],fuc_L[e],acnam2a6agal[e],arab_L[e]
15,2agpe140[c],,,,,2agpg140[c],lipa[c],arab_L[e],14mtpentdec2eACP[c],trnaglu[c]
16,sTn_antigen[e],,,,,2agpg180[c],12ppd_S[e],3opACPm[c],12mtmrs2eACP[c],3opACPm[c]
17,HC01651[c],,,,,pgpi14[c],,pgi17[c],ppaca[c],pg140[c]
18,,,,,,copre8[c],,pg140[c],12mttritec2eACP[c],pgi17[c]
19,,,,,,pgp140[c],,hspg_degr_6[e],etoh[c],pgi14[c]
20,,,,,,2agpg181[c],,pgi14[c],14mtpalm2eACP[c],3hddecACP[c]
21,,,,,,1agpg140[c],,3hddecACP[c],gACPm[c],galur[c]
22,,,,,,2agpg160[c],,galur[c],3dhq[c],lipa[c]
23,,,,,,galur[c],,3dhq[c],lipa[c],3dhq[c]
24,,,,,,lipa[c],,lipa[c],3oddecACP[c],12ppd_S[e]
25,,,,,,2agpg161[c],,12ppd_S[e],ocdca[e],pg180[c]
26,,,,,,clpni17[c],,pg180[c],fcl_L[c],pgi16[c]
27,,,,,,3dhq[c],,pgi16[c],sTn_antigen[e],sTn_antigen[e]
28,,,,,,1agpg160[c],,pgai17[c],phthr[c],ncam[c]
29,,,,,,2agpg141[c],,,,pgai17[c]
30,,,,,,clpn180[c],,,,
31,,,,,,ttdca[c],,,,
32,,,,,,pgpi17[c],,,,
33,,,,,,glu1sa[c],,,,
34,,,,,,1agpg180[c],,,,
35,,,,,,pgp180[c],,,,
36,,,,,,clpnai15[c],,,,
37,,,,,,but[e],,,,
38,,,,,,1agpg181[c],,,,
39,,,,,,clpni15[c],,,,
