,Actinomyces_odontolyticus_ATCC_17982,Alistipes_putredinis_DSM_17216,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_DSM_17855
37,btn[c],gly[e],ttdca[c],g3pe[c],pei17[c],thm[e],isocapr[c],dhmphze[c],palmtcaacgam[c],prl45tca[c]
38,4adcho[c],4abz[c],alaglu[c],hdcea[c],chol[e],btoh[c],cdpdodecg[c],pe180[c],btoh[c],pa120[c]
39,4hba[c],dhpt[c],g3pe[c],10m3oundecACP[c],malcoa[c],btal[c],ps180[c],btn[c],tchola[e],cdpdddecg[c]
40,6a2ohxnt[c],8m3hnonACP[c],ppcoa[c],3hoctaACP[c],4ampm[c],mana[c],chol[c],cspg_ab_rest[e],psi17[c],ai17tcaacgam[c]
41,uppg3[c],ppa[c],camp[c],toctd2eACP[c],ppap[c],ggdp[c],prl45tca[c],pgp120[c],6a2ohxnt[c],urea[c]
42,cpppg3[c],ppa[e],2maacoa[c],ddcacoa[c],cdpdodecg[c],hdcea[c],pa120[c],pg120[c],hg2[c],urea[e]
43,glyb[c],isobut[e],btcoa[c],3otdcoa[c],ps180[c],10m3hundecACP[c],cdpdddecg[c],4hba[c],hg2[e],ppp9[c]
44,glyasp[e],ppap[c],fdxox[c],3oocoa[c],pa120[c],alaglu[c],inost[c],palmtcaacgam[c],isoval[e],12mmyrsACP[c]
45,uaagtmda[c],pi[e],6m3oheptACP[c],3hddecACP[c],cdpdddecg[c],9m3hdcaACP[c],2ins[c],btoh[c],dha[c],10mtddec2eACP[c]
46,glyglu[e],pa120[c],2dda7p[c],btn[c],urea[c],9mtdec2eACP[c],urea[c],no2[c],ppcoa[c],pan4p[c]
47,ppcoa[c],cdpdddecg[c],12m3omyrsACP[c],pgp120[c],urea[e],g3pe[c],urea[e],psi17[c],sttca1[c],na1[e]
48,thm[c],8m3ononACP[c],8m3hnonACP[c],pg120[c],12mmyrsACP[c],6mocACP[c],ppp9[c],6a2ohxnt[c],sttcaacgam[c],aps[c]
49,co2[e],urea[c],pydam[c],2agpe160[c],3hdcoa[c],HC01668[c],12mmyrsACP[c],4ppan[c],ai15tcaacgam[c],15m3opalmACP[c]
50,HC01609[c],urea[e],pyam5p[c],hdca[c],1agpe180[c],dms[c],10mtddec2eACP[c],uaagtmda[c],co2dam[c],cdpdipdecg[c]
51,alltn[e],pa161[c],3haACP[c],4hba[c],3uib[c],ppcoa[c],pgpi17[c],hg2[c],co2[e],spmd[e]
52,amopbut_L[c],indole[c],tma[c],3hmbcoa[c],pan4p[c],gly[e],pgi17[c],hg2[e],pydam[c],spmd[c]
53,3a2opp[c],pan4p[c],ethso3[e],btoh[c],15m3opalmACP[c],2maacoa[c],pan4p[c],isoval[e],alagly[c],4m3hhexACP[c]
54,lipoate[c],na1[e],2hdecg3p[c],3omrsACP[c],2ddecg3p[c],6m3oheptACP[c],15m3opalmACP[c],ppcoa[c],ocdcea[e],4ppcys[c]
55,pheme[c],tag6p_D[c],ppa[c],glyb[c],cdpdipdecg[c],uaaAgtla[c],cdpdipdecg[c],sttca1[c],ocdcea[c],pb[c]
56,T_antigen[e],com[c],ppa[e],tag6p_D[c],spmd[e],glygln[e],spmd[e],sttcaacgam[c],3a2opp[c],pb[e]
57,cbmt[c],pa141[c],2agpe180[c],uaagtmda[c],spmd[c],ohpb[c],spmd[c],cdpdodec11eg[c],uacmam[c],7m3hocACP[c]
58,rmn[c],cdpdtdec7eg[c],oxa[c],hg2[c],aacald[c],phthr[c],pgp160[c],ai15tcaacgam[c],palmtca1[c],dad_5[c]
59,rml[c],cdpdipdecg[c],4ampm[c],hg2[e],4m3hhexACP[c],12m3omyrsACP[c],4m3hhexACP[c],co2[e],alagln[c],tdchola[e]
60,pgpai17[c],isocapr[c],ppap[c],3odecACP[c],4ppcys[c],8m3hnonACP[c],4ppcys[c],alagly[c],i15tcaacgam[c],C02528[e]
61,adocbl[c],6m3hheptACP[c],3hbcoa_R[c],ibcoa[c],pb[c],g3pc[c],pb[c],ficytC[c],2mmal[c],7mtoct2eACP[c]
62,dpcoa[c],dhf[c],3hbcoa[c],2mpropACP[c],pb[e],pydam[c],pb[e],cspg_c_rest[e],myrstcaacgam[c],itdcoa[c]
63,10fthf5glu[c],4ppcys[c],dscl[c],ppcoa[c],7m3hocACP[c],pyam5p[c],7m3hocACP[c],lipoate[c],cbmt[c],12daihdglyc[c]
64,abt[c],ahdt[c],3hhexACP[c],co2[e],td2coa[c],3mbutACP[c],dad_5[c],palmtca1[c],23ccmp[c],10m3oundecACP[c]
65,lgt_S[c],pb[c],pi[e],pydam[c],3htdcoa[c],13m3omyrsACP[c],cdpdtdec7eg[c],alagln[c],3cmp[c],14m3opalmACP[c]
66,glyasp[c],pb[e],3hddcoa[c],3hddcoa[c],myrsACP[c],5mhexACP[c],7mtoct2eACP[c],i15tcaacgam[c],pei16[c],9m3hdcaACP[c]
67,odecoa[c],isoval[e],taur[c],ficytC[c],hxcoa[c],24dhhed[c],itdcoa[c],pgp141[c],psai17[c],i15tca1[c]
68,pgpi17[c],isoval[c],abt[c],acmalt[c],cdpdtdec7eg[c],sucsal[c],pgai15[c],myrstcaacgam[c],dpcoa[c],i15tcaglc[c]
69,cbl2[c],4r5au[c],8m3ononACP[c],14m3opentdecACP[c],7mtoct2eACP[c],4m3hhexACP[c],2aobut[c],cbmt[c],10fthf5glu[c],3hoctaACP[c]
70,cbl1[e],dmlz[c],urea[c],lipoate[c],3hoctACP[c],ppap[c],10m3oundecACP[c],23ccmp[c],lac_L[c],toctd2eACP[c]
71,C11821[c],psi14[c],urea[e],pgp141[c],toct2eACP[c],3hhexACP[c],14m3opalmACP[c],3cmp[c],prodthl[c],12ditdglyc[c]
72,pgp181[c],trnaglu[c],6a2ohxnt[c],8mnonACP[c],itdcoa[c],chol[c],9m3hdcaACP[c],pei16[c],pser_L[c],4mtpent2eACP[c]
73,2mp2coa[c],1ipdecg3p[c],1pipdn2c[c],3oddcoa[c],1tdecg3p[c],pnto_R[c],i15tca1[c],pgp161[c],odecoa[c],14mpentdecACP[c]
74,met_D[e],psi16[c],3hoctaACP[c],pgp161[c],3ooctACP[c],4h2oglt[c],i15tcaglc[c],psai17[c],isocapr[e],ai15tca1[c]
75,met_D[c],4m3hpentACP[c],3ooctdACP[c],2mp2coa[c],1agpe141[c],3hddcoa[c],3hoctaACP[c],dpcoa[c],isobut[c],9mdcaACP[c]
76,lac_D[c],e4hglu[c],indole[c],3hibutcoa[c],g3pe[c],pa120[c],toctd2eACP[c],10fthf5glu[c],cbl2[c],xylu_L[c]
77,gdpmann[c],4h2oglt[c],9m3odcaACP[c],dhnpt[c],1hdec9eg3p[c],cdpdddecg[c],4mtpent2eACP[c],prodthl[c],i14tcaacgam[c],6m3hocACP[c]
78,hmbil[c],hdcoa[c],9m3hdcaACP[c],dpcoa[c],hdcea[c],abt[c],14mpentdecACP[c],pser_L[c],C11821[c],hdcea[c]
79,4hbz[c],12mtridecACP[c],1agpe180[c],10fthf5glu[c],10m3oundecACP[c],8m3ononACP[c],ai15tca1[c],odecoa[c],i16tca1[c],6mtoct2eACP[c]
80,adocbl[e],tdchola[e],2ddglcn[e],tre6p[c],14m3opalmACP[c],alltn[c],9mdcaACP[c],isocapr[e],i14tca1[c],6mocACP[c]
81,cbl1[c],C02528[e],pan4p[c],abt[c],9m3hdcaACP[c],apoC_Lys_btn[c],xylu_L[c],isobut[c],ps181[c],10mddcaACP[c]
82,ppa[c],3a2opp[c],b2coa[c],14m3hpentdecACP[c],3hoctaACP[c],pa161[c],6m3hocACP[c],cbl2[c],5thf[c],2s5epchc[c]
83,4hthr[c],pdx5p[c],12m3hmyrsACP[c],pgp181[c],toctd2eACP[c],6a2ohxnt[c],hdcea[c],i14tcaacgam[c],ai17tca1[c],pe180[c]
84,ocdcea[c],fru[c],3hoctACP[c],ocdca[c],14mpentdecACP[c],1pipdn2c[c],6mtoct2eACP[c],thym[c],glyasp[c],btn[c]
85,5aop[c],1odec11eg3p[c],15m3opalmACP[c],met_D[e],ddcacoa[c],3hoctaACP[c],6mocACP[c],C11821[c],but[c],8mdcaACP[c]
86,ppbng[c],sl2a6o[c],1agpe161[c],met_D[c],3otdcoa[c],3ooctdACP[c],10mddcaACP[c],pre3a[c],i15tca1[c],4adcho[c]
87,gly[e],psai15[c],na1[e],4m3hpentACP[c],9mdcaACP[c],9m3odcaACP[c],2s5epchc[c],i16tca1[c],lac_D[c],gchola[e]
88,2mb2coa[c],cdpditdecg[c],15m3hpalmACP[c],glyasp[c],3oocoa[c],3ump[c],pe180[c],pgp181[c],gdpmann[c],cholate[e]
89,uaaGgtla[c],mphze[c],11m3hddcaACP[c],galt1p[c],dtdpglu[c],aso4[c],btn[c],i14tca1[c],4hbz[c],4hba[c]
90,2agpe161[c],glutrna[c],11m3oddcaACP[c],3dhchol[e],3hddecACP[c],aso4[e],8mdcaACP[c],ps181[c],ncptrc[c],palmtcaacgam[c]
91,ppi[e],4hthr[c],cbmt[c],3oddecACP[c],6m3hocACP[c],2mop[c],cspg_ab_rest[e],5thf[c],pheme[e],btoh[c]
92,ser_D[e],cdpdhdecg[c],mso3[c],6m3oheptACP[c],2s5epchc[c],mi3p_D[c],pgp120[c],pa161[c],dgchol[e],tchola[e]
93,5hxudidzcba[c],fa1[c],isetac[e],6m3hheptACP[c],pe180[c],pan4p[c],pg120[c],cdpdhdec9eg[c],cro4[c],psi17[c]
94,alltn_R[c],gal[c],isetac[c],dcacoa[c],btn[c],no2[c],4hba[c],ai17tca1[c],glygln[c],icdchol[e]
95,asp_L[e],prodslfd[c],ethso3[c],6mheptACP[c],8mdcaACP[c],cdpdhdec9eg[c],Ser_Thr[e],glyasp[c],inost[c],6a2ohxnt[c]
96,pgpi15[c],prodthl[c],tag6p_D[c],metsox_S_L[e],2agpe160[c],12m3hmyrsACP[c],no2[c],but[c],ppa[c],glyb[c]
97,metsox_R_L[c],cro4[e],3odcoa[c],pydxn[c],hdca[c],3hoctACP[c],psi17[c],i15tca1[c],4hthr[c],ctbt[c]
98,d5kg[c],dhmphze[c],occoa[c],pdx5p[c],4hba[c],15m3opalmACP[c],6a2ohxnt[c],gdpmann[c],gly[e],uaagtmda[c]
99,melib[c],tchola[e],3odecACP[c],im4act[c],3hmbcoa[c],1agpe161[c],clpn160[c],uacmam[c],hgbyr[c],hg2[c]
100,fmnh2[c],taur[e],2oph[c],im4ac[c],2mahmp[c],aps[c],pg160[c],mthgxl[c],dad_5[c],hg2[e]
