,ptrc[c],db4p[c],r5p[c],gln_L[c],alagln[c],glu_D[c],s17bp[c],dhap[c],2ahhmp[c],2ommb[c],ocmhmxbq[c],4mpentACP[c],pphn[c],2omph[c],glu_L[e],na1[c],lys_L[c],cys_L[c],tsul[c],clpni17[c],pgi17[c],apoC_Lys_btn[c],cob[c],comSScob[c],ps141[c],pe141[c],ihdcoa[c],1hdecg3p[c],clpn180[c],mql8[c],mqn8[c],so4[c],so4[e],hexACP[c],pe120[c],succoa[c],fdxox[c],10fthf[c],10m3oundecACP[c],aspsa[c],dmpp[c],grdp[c],itp[c],val_L[c],3mob[c],pei17[c],8mnonACP[c],3hdecACP[c],succ[c],q8h2[c],ins[c],hxan[c],8m3odcaACP[c],4hbz[c],indole[e],dttp[c],dhna[c],dmphqno[c],36dahx[c],udpg[c],HC01710[c],cd2[e],34hpp[c],g3p[c],zn2[c],alaasp[c],cdpdodec11eg[c],2omhmbl[c],glyc3p[c],pgp180[c],3hpalmACP[c],tpalm2eACP[c],dadp[c],dgtp[c],asp_L[c],iasp[c],nicrnt[c],dnad[c],s7p[c],cit[c],ocACP[c],3odecACP[c],his_L[c],adocbl[c],tyr_L[c],q8[c],oaa[c],fad[c],dump[c],dtmp[c],2ombzl[c],acac[c],uamag[c],ru5p_D[c],ddcaACP[c],agdpcbi[c],4mhexACP[c],4m3ohexACP[c],hepdp[c],palmACP[c],3haACP[c],lac_D[e],lac_D[c],3hddecACP[c],dtdp[c],15mpalmACP[c],1ihdecg3p[c],5m3ohexACP[c],dhor_S[c],itdcoa[c],1itdecg3p[c],dhlpro[c],cl[c],mg2[c],pe180[c],mn2[c],dhlam[c],ahcys[c],dgsn[c],f6p[c],xu5p_D[c],hom_L[c],phom[c],fa11[c],udcpp[c],ump[c],ocdcaACP[c],pa180[c],gdp[c],dcyt[c],isobut[c],o2[c],gicolipa[c],hcys_L[c],5m3hhexACP[c],malcoa[c],malACP[c],3opalmACP[c],gthrd[c],pyr[c],cdp[c],din[e],12m3otridecACP[c],12m3htridecACP[c],ura[c],2ombz[c],ser_L[c],trdox[c],hlipa[c],hhlipa[c],peai17[c],adn[c],aacoa[c],glycogenb[c],lipidAds[c],lipidA[c],cdpdihdecg[c],thf[c],methf[c],pro_L[c],glyleu[c],leu_L[c],cu2[c],fol[e],3dhsk[c],fa6[c],btoh[c],btal[c],dgmp[c],dgdp[c],ac[c],fum[c],2dmmq8[c],arg_L[c],citr_L[c],ugmd[c],ile_L[c],pheme[c],5forthf[c],datp[c],uri[c],amet[c],pppi[c],13dpg[c],hdcea[c],10m3hundecACP[c],achms[c],met_L[c],met_L[e],alaglu[c],9m3hdcaACP[c],9mtdec2eACP[c],prpp[c],5mthf[c],h2mb4p[c],xmp[c],glyasn[c],4mop[c],phe_L[c],6mocACP[c],PGP[c],xan[c],xtsn[c],akg[c],ppcoa[c],phpyr[c],utp[c],dad_2[e],fol[c],5aizc[c],gmhep17bp[c],pg180[c],cobalt2[c],skm5p[c],9mdcaACP[c],gar[c],u3hga[c],ipdcoa[c],6m3oheptACP[c],h2o[e],gly[e],clpnai15[c],pgai15[c],sql[c],trp_L[c],thmpp[c],for[c],asn_L[c],dudp[c],peptmetox_L[c],ala_D[c],ohpb[c],phthr[c],3pg[c],dnarep[c],4abz[c],dhpt[c],rib_D[c],e4p[c],k[c],mg2[e],12m3omyrsACP[c],8m3hnonACP[c],ribflv[e],3mbutACP[c],spmd[c],13m3omyrsACP[c],mal_L[c],5mhexACP[c],mn2[e],cbp[c],cbasp[c],u23ga[c],udp[c],paai17[c],cdpdaihpdecg[c],ser_L[e],uri[e],cu2[e],pant_R[c],ppa[c],ppa[e],kdolipid4[c],11mddcaACP[c],glyc[c],glyald[c],uGgla[c],accoa[c],2ohph[c],isobut[e],r1p[c],4m3hhexACP[c],dcamp[c],ocdcea[c],clpnai17[c],thr_L[c],dxyl5p[c],nac[c],ppap[c],dad_2[c],ribflv[c],myrsACP[c],cit[e],but2eACP[c],butACP[c],proteinsynth[c],gmp[c],metsox_S_L[c],gmhep1p[c],3hhexACP[c],cdpdodecg[c],ps180[c],btcoa[c],orot5p[c],dctp[c],pnto_R[e],pnto_R[c],pi[e],pai17[c],cdpdihpdecg[c],leu_L[e],adphep_DD[c],adphep_LD[c],metala[c],colipa[c],pa120[c],cdpdddecg[c],uacgam[c],uaagmda[c],acser[c],8m3ononACP[c],3php[c],rnatrans[c],urea[c],urea[e],g6p[c],1pyr5c[c],pgai17[c],pydx5p[c],12mmyrsACP[c],pa161[c],udcpdp[c],10mtddec2eACP[c],h2o2[c],ca2[c],3hoctaACP[c],3ooctdACP[c],mlthf[c],nac[e],pheme[e],indole[c],duri[c],phhlipa[c],lpro[c],hphhlipa[c],9m3odcaACP[c],1aihpdecg3p[c],pgpi17[c],25aics[c],2aobut[c],etoh[c],gtp[c],imp[c],ihpdcoa[c],gsn[c],cmp[c],hco3[c],udpglcur[c],pan4p[c],2me4p[c],12m3hmyrsACP[c],3hoctACP[c],15m3opalmACP[c],na1[e],dcdp[c],maltttr[c],uaccg[c],uamr[c],arg_L[e],din[c],2dr1p[c],15m3hpalmACP[c],11m3hddcaACP[c],11m3oddcaACP[c],actp[c],ppgpp[c],tag6p_D[c],com[c],5mthex2eACP[c],pa141[c],cdpdtdec7eg[c],cdpdipdecg[c],spmd[e],isocapr[c],agm[c],peptmet_L[c],aipdcoa[c],ugmda[c],uagmda[c],6m3hheptACP[c],26dap_M[e],26dap_M[c],7m3hocACP[c],7m3oocACP[c],trp_L[e],dhf[c],8m3hdcaACP[c],man1p[c],4ppcys[c],ahdt[c],2pg[c],g1p[c],pb[c],pb[e],glc_bD[c],g6p_B[c],trdrd[c],4adcho[c],isoval[e],isoval[c],4r5au[c],dmlz[c],psi14[c],glymet[c],fprica[c],fe2[c],trnaglu[c],fa4[c],1ipdecg3p[c],forglu[c],ivcoa[c],fdp[c],val_L[e],psi16[c],amopbut_L[c],psd5p[c],4m3hpentACP[c],udpgal[c],alahis[c],gmhep7p[c],malthx[c],maltpt[c],e4hglu[c],4h2oglt[c],hdcoa[c],fdxrd[c],pmtcoa[c],12mtridecACP[c],fadh2[c],ac[e],damp[c],tdchola[e],C02528[e],h2s[c],5prdmbz[c],orot[c],3ooctACP[c],7mtoct2eACP[c],toct2eACP[c],glytyr[c],glypro[c],1tdecg3p[c],HC01651[c],thm[c],thmmp[c],pro_L[e],sheme[c],dutp[c],glyasp[c],3a2opp[c],pdx5p[c],fru[c],8mdcaACP[c],glyphe[c],kdo2lipid4[c],kdo2lipid4L[c],1odec11eg3p[c],stcoa[c],4hbz[e],sl2a6o[c],alaala[c],fe3[c],ttdca[c],ttdca[e],fe3[e],3oddecACP[c],skm[c],pram[c],dtdp4d6dg[c],dtdp4d6dm[c],psai15[c],pep[c],2ommbl[c],cdpditdecg[c],mmcoa_S[c],thm[e],acACP[c],actACP[c],14mpentdecACP[c],14m3opalmACP[c],rnam[c],adocbi[c],toctd2eACP[c],man6p[c],kphphhlipa[c],pgi16[c],2mahmp[c],dtdprmn[c],mphze[c],gagicolipa[c],fpram[c],pser_L[c],Largn[c],glutrna[c],fa12[c],2p4c2me[c],4ampm[c],4hthr[c],15mtpalm2eACP[c],cdpdhdecg[c],fa1[c],gua[c],3mop[c],dtdpglu[c],lcts[c],gal[c],tyr_L[e],prodslfd[c],prodthl[c],malttr[c],malt[c],icolipa[c],Ssq23epx[c],glycogen[c],6m3hocACP[c],cro4[e],nicrns[c],gam6p[c],6mtoct2eACP[c],ocdcea[e],10mddcaACP[c],cbl1[c],1odecg3p[c],2dmmql8[c],dhmphze[c],tchola[e],taur[e],ocdca[c],ipdp[c],4ppan[c],chor[c],2oph[c],gchola[e],cholate[e],kdo[c],4hba[c],3psme[c],sheme[e],cl[e],pgpai17[c],his_L[e],tdeACP[c],1tdec7eg3p[c],thfglu[c],3omrsACP[c],btn_co2[c],so3[c],u3aga[c],psi17[c],HC01652[c],clpn160[c],pg160[c],glc_D[c],pai14[c],pgi15[c],clpni15[c],phyldpp[c],alaleu[c],ibcoa[c],cgly[c],14m3opentdecACP[c],14m3hpentdecACP[c],ps120[c],asn_L[e],hg2[c],hg2[e],octdp[c],1aipdecg3p[c],ca2[e],zn2[e],pa160[c],aihpdcoa[c],dpcoa[c],10mundecACP[c],2mbcoa[c],dgsn[e],ocdca[e],dextrin[c],10m3oddcaACP[c],aicar[c],2mpropACP[c],dha[c],dextrin[e],psai17[c],glygln[c],frdp[c],ckdo[c],pg140[c],clpn140[c],pei14[c],peai15[c],2mbutACP[c],14mpalmACP[c],4c2me[c],cytd[c],4mthex2eACP[c],octeACP[c],fmn[c],alpro[c],hdeACP[c],ins[e],11mtddec2eACP[c],pai15[c],thr_L[e],dgchol[e],ggagicolipa[c],alathr[c],co2[e],dcyt[e],paai15[c],alagly[c],kdo8p[c],acald[c],isomal[c],urcan[c],4izp[c],gam1p[c],mqn7[c],2dmmq7[c],tdcoa[c],ficytC[c],glyc[e],idp[c],air[c],uaaGgla[c],2dr5p[c],cd2[c],8mtdec2eACP[c],phphhlipa[c],4pasp[c],succ[e],1ihpdecg3p[c],uama[c],cdpdaipdecg[c],clpni14[c],pgi14[c],cys_L[e],fgam[c],ps181[c],6mheptACP[c],cdpdtdecg[c],3hmrsACP[c],8mtnon2eACP[c],pa140[c],4mpetz[c],10m3hddcaACP[c],ala_L[e],lanost[c],lanost[e],pei16[c],hdca[c],dcaACP[c],o2[e],nh4[e],4ahmmp[c],uaGgla[c],gthox[e],gthox[c],dhnpt[c],10fthf5glu[c],ps160[c],pe160[c],but[c],lgt_S[c],pe181[c],o2s[c],glyglu[c],adn[e],14m3hpalmACP[c],2mecdp[c],13m3hmyrsACP[c],dcmp[c],f1p[c],adocbip[c],glycys[c],suchms[c],tdec2eACP[c],udpacgal[c],fa3[c],ala_B[c],odecoa[c],duri[e],25dhpp[c],gggagicolipa[c],isocapr[e],clpni16[c],ncam[c],gdptp[c],4m3opentACP[c],butpi[c],lipa[c],cytd[e],thdp[c],ru5p_L[c],xu5p_L[c],2mp2coa[c],thex2eACP[c],23dhdp[c],lys_L[e],rdmbzi[c],lipidX[c],pnp[c],cdpdhdec9eg[c],pai16[c],4per[c],mmcoa_R[c],2mb2coa[c],12mtmrs2eACP[c],acgam1p[c],thymd[e],phe_L[e],ps161[c],1ddecg3p[c],gsn[e],thymd[c],gdpmann[c],quln[c],tmrs2eACP[c],mthgxl[c],13mmyrsACP[c],psi15[c],pei15[c],drib[c],6m3oocACP[c],h2[c],h2[e],3ophb[c],26dap_LL[c],2pglyc[c],glyclt[c],btamp[c],adcobdam[c],5fthf[c],ppi[e],co1dam[c],lpam[c],mqn7[e],7mocACP[c],tddec2eACP[c],b2coa[c],6mthept2eACP[c],cro4[c],35dacap[c],fe2[e],ile_L[e],tagdp_D[c],k[e],ade[c],4mtpent2eACP[c],udpgalfur[c],pe161[c],pa181[c],pap[c],3ohexACP[c],cobalt2[e],but[e],HC01104[c],2ahhmd[c],10mtundec2eACP[c],14mtpalm2eACP[c],malthp[c],pe140[c],l2a6o[c],sucr[c],btn[c],hdca[e],ps140[c],g1p_B[c],ara5p[c],1hdec9eg3p[c],anth[c],13mtmrs2eACP[c],gcald[c],4abut[c],aact[c],glu5sa[c],14mtpentdec2eACP[c],12mttritec2eACP[c],focytC[c]
ptrc[c],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
db4p[c],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
